gsm,source_name,treatment,substrate,replicate,genotype,cultivar,growth_medium,growth_medium_quantity,growth_medium_unit,growth_time_days,age_at_harvest_days,n_leaves_at_harvest,dev_stage_at_harvest,thinning_note,plate,phenotyped
GSM5691021,"Col-0, Leaves, Apollo 12 regolith, replicate 3",Apollo 12 regolith,A12,3,Wild Type,Col-0,"A12 Lunar regolith and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,21,21,4.0,LP.04 four leaves visible stage,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,P3,True
GSM5691022,"Col-0, Leaves, Apollo 17 regolith, replicate 3",Apollo 17 regolith,A17,3,Wild Type,Col-0,"A17 Lunar regolith and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,21,21,4.0,LP.04 four leaves visible stage,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,P3,True
GSM5691023,"Col-0, Leaves, JSC-1A, replicate 4",JSC-1A lunar simulant,JSC1A,4,Wild Type,Col-0,"JSC-1A Lunar simulant and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,20,20,10.0,LP.10 ten leaves visible stage,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,P4,True
GSM5691024,"Col-0, Leaves, Apollo 11 regolith, replicate 4",Apollo 11 regolith,A11,4,Wild Type,Col-0,"A11 Lunar regolith and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,21,21,2.0,LP.02 two leaves visible stage,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,P4,True
GSM5691025,"Col-0, Leaves, Apollo 12 regolith, replicate 4",Apollo 12 regolith,A12,4,Wild Type,Col-0,"A12 Lunar regolith and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,21,21,6.0,LP.06 six leaves visible stage,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,P4,True
GSM5691026,"Col-0, Leaves, Apollo 17 regolith, replicate 4",Apollo 17 regolith,A17,4,Wild Type,Col-0,"A17 Lunar regolith and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,21,21,4.0,LP.04 four leaves visible stage,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,P4,True
GSM5691027,"Col-0, Leaves, JSC-1A, replicate 5",JSC-1A lunar simulant,JSC1A,5,Wild Type,Col-0,"JSC-1A Lunar simulant and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,21,21,,Not Available,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,,False
GSM5691028,"Col-0, Leaves, JSC-1A, replicate 6",JSC-1A lunar simulant,JSC1A,6,Wild Type,Col-0,"JSC-1A Lunar simulant and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,21,21,,Not Available,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,,False
GSM5691029,"Col-0, Leaves, JSC-1A, replicate 7",JSC-1A lunar simulant,JSC1A,7,Wild Type,Col-0,"JSC-1A Lunar simulant and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,21,21,,Not Available,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,,False
GSM5691030,"Col-0, Leaves, JSC-1A, replicate 8",JSC-1A lunar simulant,JSC1A,8,Wild Type,Col-0,"JSC-1A Lunar simulant and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,21,21,,Not Available,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,,False
