gsm,source_name,treatment,substrate,replicate,genotype,cultivar,growth_medium,growth_medium_quantity,growth_medium_unit,growth_time_days,age_at_harvest_days,n_leaves_at_harvest,dev_stage_at_harvest,thinning_note,plate,phenotyped
GSM5691011,"Col-0, Leaves, JSC-1A, replicate 1",JSC-1A lunar simulant,JSC1A,1,Wild Type,Col-0,"JSC-1A Lunar simulant and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,20,20,9.0,LP.09 nine leaves visible stage,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,P1,True
GSM5691012,"Col-0, Leaves, Apollo 11 regolith, replicate 1",Apollo 11 regolith,A11,1,Wild Type,Col-0,"A11 Lunar regolith and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,21,21,4.0,LP.04 four leaves visible stage,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,P1,True
GSM5691013,"Col-0, Leaves, Apollo 12 regolith, replicate 1",Apollo 12 regolith,A12,1,Wild Type,Col-0,"A12 Lunar regolith and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,21,21,4.0,LP.04 four leaves visible stage,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,P1,True
GSM5691014,"Col-0, Leaves, Apollo 17 regolith, replicate 1",Apollo 17 regolith,A17,1,Wild Type,Col-0,"A17 Lunar regolith and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,21,21,2.0,LP.02 two leaves visible stage,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,P1,True
GSM5691015,"Col-0, Leaves, JSC-1A, replicate 2",JSC-1A lunar simulant,JSC1A,2,Wild Type,Col-0,"JSC-1A Lunar simulant and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,20,20,9.0,LP.09 nine leaves visible stage,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,P2,True
GSM5691016,"Col-0, Leaves, Apollo 11 regolith, replicate 2",Apollo 11 regolith,A11,2,Wild Type,Col-0,"A11 Lunar regolith and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,21,21,2.0,LP.02 two leaves visible stage,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,P2,True
GSM5691017,"Col-0, Leaves, Apollo 12 regolith, replicate 2",Apollo 12 regolith,A12,2,Wild Type,Col-0,"A12 Lunar regolith and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,21,21,5.0,LP.05 five leaves visible stage,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,P2,True
GSM5691018,"Col-0, Leaves, Apollo 17 regolith, replicate 2",Apollo 17 regolith,A17,2,Wild Type,Col-0,"A17 Lunar regolith and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,21,21,6.0,LP.06 six leaves visible stage,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,P2,True
GSM5691019,"Col-0, Leaves, JSC-1A, replicate 3",JSC-1A lunar simulant,JSC1A,3,Wild Type,Col-0,"JSC-1A Lunar simulant and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,20,20,8.0,LP.08 eight leaves visible stage,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,P3,True
GSM5691020,"Col-0, Leaves, Apollo 11 regolith, replicate 3",Apollo 11 regolith,A11,3,Wild Type,Col-0,"A11 Lunar regolith and Rockwool plug moistened with a nutrient solution of 0.125x strength Murashige and Skoog nutrient solution, pH 5.7",900.0,milligram,21,21,0.0,only cotyledonary node visible,2-4 seeds per well. The seedlings thinned to 1 on day 6 or 8,P3,True
