gsm,treatment,substrate,replicate,plate,age_at_harvest_days,n_leaves_at_harvest,dev_stage_at_harvest,leaf_first_day,leaf_final,leaf_rate_per_day,leaf_auc,join_confidence,n_plants,plant_ids,area_mm2_first,area_mm2_last,rgr_area_per_day,solidity_last,height_mm_last,longest_path_mm_last,ellipse_eccentricity_last,area_slope_mm2_per_day,qc_solidity_out_of_range,qc_leaf_area_spearman,qc_leaf_area_p
GSM5691011,JSC-1A lunar simulant,JSC1A,1,P1,20,9.0,LP.09 nine leaves visible stage,4.0,9.0,0.6771073238139109,65.5,plate_mean,4,P1-JSC1A-1;P1-JSC1A-2;P1-JSC1A-3;P1-JSC1A-4,2.1380987200000003,35.76882878142857,0.3521449780203438,0.6111016578571429,9.363878228571428,72.78965244285715,0.6376361698571429,4.128805192792855,False,0.8427,4.164043713841732e-05
GSM5691012,Apollo 11 regolith,A11,1,P1,21,4.0,LP.04 four leaves visible stage,10.0,4.0,0.38876093965914343,19.0,exact,1,P1-A11,1.37912557,0.14252544,-0.28371055278691926,1.074626866,0.3996014,2.8335372000000003,0.548098707,-0.3025734267999999,True,0.8427,4.164043713841732e-05
GSM5691013,Apollo 12 regolith,A12,1,P1,21,4.0,LP.04 four leaves visible stage,10.0,4.0,0.43159834177798256,22.0,exact,1,P1-A12,1.46994287,1.298966065,-0.015456865335513888,0.543674247,2.1314256,15.523712450000001,0.71445514,-0.008227369699999976,False,0.8427,4.164043713841732e-05
GSM5691014,Apollo 17 regolith,A17,1,P1,21,2.0,LP.02 two leaves visible stage,11.0,2.0,0.22662367572547218,11.0,exact,1,P1-A17,1.816346,2.2519902,0.03583126131923311,0.545984456,3.1065120000000004,24.5231712,0.913077428,-0.05657342660000021,False,0.8427,4.164043713841732e-05
GSM5691015,JSC-1A lunar simulant,JSC1A,2,P2,20,9.0,LP.09 nine leaves visible stage,4.0,9.0,0.6628281897742978,60.0,plate_mean,4,P2-JSC1A-1;P2-JSC1A-2;P2-JSC1A-3;P2-JSC1A-4,2.7875338800000002,34.876454512500004,0.31583183184387353,0.607006726,9.9022587,70.549025775,0.49314597,3.6865125000875003,False,0.8427,4.164043713841732e-05
GSM5691016,Apollo 11 regolith,A11,2,P2,21,2.0,LP.02 two leaves visible stage,10.0,2.0,0.22570244127130365,14.0,exact,1,P2-A11,2.97736137,2.5261038,-0.020544918281106356,0.510730193,3.6174303,24.2623608,0.884937301,-0.20191523324999988,False,0.8427,4.164043713841732e-05
GSM5691017,Apollo 12 regolith,A12,2,P2,21,5.0,LP.05 five leaves visible stage,6.0,5.0,0.42146476278212813,32.5,exact,1,P2-A12,2.6792430300000003,6.91207155,0.11846688498467313,0.668690261,3.1058745,33.3972858,0.825672682,0.3688741496000001,False,0.8427,4.164043713841732e-05
GSM5691018,Apollo 17 regolith,A17,2,P2,21,6.0,LP.06 six leaves visible stage,7.0,6.0,0.5840626439428837,40.0,exact,1,P2-A17,2.57477421,16.120601100000002,0.22929202257886672,0.616759891,7.4175591,51.7767549,0.693655575,1.4920428360999995,False,0.8427,4.164043713841732e-05
GSM5691019,JSC-1A lunar simulant,JSC1A,3,P3,20,8.0,LP.08 eight leaves visible stage,4.0,8.0,0.5610317825886689,52.5,plate_mean,4,P3-JSC1A-1;P3-JSC1A-2;P3-JSC1A-3;P3-JSC1A-4,2.106682245,71.06169031,0.4398042578936896,0.638413517,10.328560199999998,103.1390976,0.789640627,7.562728500524999,False,0.8427,4.164043713841732e-05
GSM5691020,Apollo 11 regolith,A11,3,P3,21,0.0,only cotyledonary node visible,,0.0,0.0,0.0,exact,1,P3-A11,0.96652548,0.3537061,-0.2513103297875848,0.902896082,0.8402843,5.2974445,0.67822135,-0.1532048449999998,False,0.8427,4.164043713841732e-05
GSM5691021,Apollo 12 regolith,A12,3,P3,21,4.0,LP.04 four leaves visible stage,10.0,4.0,0.36711192998618164,18.0,exact,1,P3-A12,3.85421841,0.60594105,-0.3083568023749824,1.015765766,0.8063967999999999,7.037644799999999,0.80589495,-0.8346232582000002,True,0.8427,4.164043713841732e-05
GSM5691022,Apollo 17 regolith,A17,3,P3,21,4.0,LP.04 four leaves visible stage,10.0,4.0,0.35605711653615857,18.0,exact,1,P3-A17,1.77460416,2.2544769,0.03989009717426643,0.68798688,1.9793376,21.259552,0.926065102,-0.09900192760000037,False,0.8427,4.164043713841732e-05
GSM5691023,JSC-1A lunar simulant,JSC1A,4,P4,20,10.0,LP.10 ten leaves visible stage,4.0,10.0,0.7314601566098575,67.0,plate_mean,4,P4-JSC1A-1;P4-JSC1A-2;P4-JSC1A-3;P4-JSC1A-4,3.1204402124999997,41.829267599999994,0.3244527738396702,0.5866824740000001,9.2253795,86.53847025,0.765314949,4.604862435924999,False,0.8427,4.164043713841732e-05
GSM5691024,Apollo 11 regolith,A11,4,P4,21,2.0,LP.02 two leaves visible stage,12.0,2.0,0.205895900506679,8.0,exact,1,P4-A11,3.17457465,0.324216,-0.28518987168909793,0.981595092,0.8453535000000001,5.733702,0.722602724,-0.4811659047999998,False,0.8427,4.164043713841732e-05
GSM5691025,Apollo 12 regolith,A12,4,P4,21,6.0,LP.06 six leaves visible stage,6.0,6.0,0.48595117457392917,36.5,exact,1,P4-A12,4.698213,12.3688404,0.12099977692912048,0.698637976,5.366157,44.8772445,0.869359463,0.6484587267,False,0.8427,4.164043713841732e-05
GSM5691026,Apollo 17 regolith,A17,4,P4,21,4.0,LP.04 four leaves visible stage,6.0,4.0,0.32934131736526956,29.0,exact,1,P4-A17,3.9081783,3.29169984,-0.02861120957618109,0.252580449,8.3161579,57.6320637,0.879129272,-0.2668944378,False,0.8427,4.164043713841732e-05
GSM5691027,JSC-1A lunar simulant,JSC1A,5,,21,,Not Available,,,,,unlinked,0,,,,,,,,,,False,0.8427,4.164043713841732e-05
GSM5691028,JSC-1A lunar simulant,JSC1A,6,,21,,Not Available,,,,,unlinked,0,,,,,,,,,,False,0.8427,4.164043713841732e-05
GSM5691029,JSC-1A lunar simulant,JSC1A,7,,21,,Not Available,,,,,unlinked,0,,,,,,,,,,False,0.8427,4.164043713841732e-05
GSM5691030,JSC-1A lunar simulant,JSC1A,8,,21,,Not Available,,,,,unlinked,0,,,,,,,,,,False,0.8427,4.164043713841732e-05
