plant_id,contour_id,plate,substrate,plate_replicate,date,image_name,area_mm2,convex_hull_area_mm2,solidity,perimeter_mm,width_mm,height_mm,longest_path_mm,ellipse_major_axis_mm,ellipse_minor_axis_mm,ellipse_eccentricity,convex_hull_vertices,area_px,day
P1-A11,plant13,P1,A11,,2021-05-02,GLDS-476_image-analysis_210502-P1.tiff,1.37912557,2.6012669500000003,0.530174564,9.62870984197798,2.0170808000000005,2.1971773000000003,14.515777900000002,2.218250069092265,1.778743406860411,0.597501428,17,1063,0
P1-A12,plant22,P1,A12,,2021-05-02,GLDS-476_image-analysis_210502-P1.tiff,1.4699428700000001,1.672984405,0.87863513,5.857104557513811,1.8730036,1.4407720000000002,14.083546300000002,2.1681806533851744,0.9336762505232011,0.902530186,19,1133,0
P1-A17,plant29,P1,A17,,2021-05-02,GLDS-476_image-analysis_210502-P1.tiff,1.816346,2.96713093,0.612155662,13.615230932656862,2.0891194000000004,2.0170808000000005,15.848492000000002,2.060440565716601,1.718696629565021,0.551552232,21,1400,0
P1-JSC1A-1,plant9,P1,JSC1A,1.0,2021-05-02,GLDS-476_image-analysis_210502-P1.tiff,2.04338925,3.0949238450000003,0.660238944,15.154684003928393,2.0891194000000004,3.6739686000000003,27.122532900000003,4.02045073098938,0.843800578354519,0.977727773,23,1575,0
P1-JSC1A-2,plant18,P1,JSC1A,2.0,2021-05-02,GLDS-476_image-analysis_210502-P1.tiff,2.41703757,5.6494847550000005,0.427833276,19.0600846639458,2.3052352000000003,4.106200200000001,27.2305908,3.567456480506062,2.162692238841763,0.795290848,23,1863,0
P1-JSC1A-3,plant25,P1,JSC1A,3.0,2021-05-02,GLDS-476_image-analysis_210502-P1.tiff,2.2704325,5.697488185,0.398497097,17.30453520347504,2.9535826000000003,3.2777563000000005,22.800216900000002,3.257783989319598,2.839756808466152,0.490069115,20,1750,0
P1-JSC1A-4,plant34,P1,JSC1A,4.0,2021-05-02,GLDS-476_image-analysis_210502-P1.tiff,1.82153556,2.30805681,0.78920742,10.451145913640271,1.8009650000000001,2.3412545000000002,19.0542097,2.8111462631736233,1.0101828433403142,0.933203211,20,1404,0
P2-A11,plant13,P2,A11,,2021-05-02,GLDS-476_image-analysis_210502-P2.tiff,2.97736137,5.580800805000001,0.533500742,15.404880352419587,3.3551702,2.498531,23.8074311,3.451572773043231,2.413076438337284,0.715000704,21,2337,0
P2-A12,plant22,P2,A12,,2021-05-02,GLDS-476_image-analysis_210502-P2.tiff,2.6792430300000003,4.105497225000001,0.652598914,16.29718558987705,3.3551702,1.9988248,25.699175999999998,3.454602858304022,1.336606682789501,0.922119148,22,2103,0
P2-A17,plant29,P2,A17,,2021-05-02,GLDS-476_image-analysis_210502-P2.tiff,2.57477421,4.3978825200000005,0.585457706,16.87553612629518,3.0339305,2.2129846,20.809193899999997,2.760209793208597,2.266153244021956,0.570917249,22,2021,0
P2-JSC1A-1,plant9,P2,JSC1A,1.0,2021-05-02,GLDS-476_image-analysis_210502-P2.tiff,1.77851796,5.7846424050000005,0.307455126,15.982336518250289,2.6413042,3.7121031999999996,30.874704499999996,3.92015626185764,2.5011681302254978,0.770013444,17,1396,0
P2-JSC1A-2,plant18,P2,JSC1A,2.0,2021-05-02,GLDS-476_image-analysis_210502-P2.tiff,1.8243823200000002,4.43865084,0.411021814,16.46477865429289,2.3200645,3.6764099,24.6640703,3.5311090418394677,1.7831302141561087,0.863132574,16,1432,0
P2-JSC1A-3,plant25,P2,JSC1A,3.0,2021-05-02,GLDS-476_image-analysis_210502-P2.tiff,2.9709913200000004,3.872353395,0.767231453,11.02336055787842,3.2123969999999997,2.1772913,24.949616699999996,3.1994782212518156,1.4143106581600837,0.89699329,21,2332,0
P2-JSC1A-4,plant34,P2,JSC1A,4.0,2021-05-02,GLDS-476_image-analysis_210502-P2.tiff,4.5762439200000005,6.617207940000001,0.691567193,15.437952136585109,3.1053170999999997,3.3551702,21.3089001,3.13875914504374,2.521999388295826,0.595301995,20,3592,0
P3-A11,plant13,P3,A11,,2021-05-02,GLDS-476_image-analysis_210502-P3.tiff,0.96652548,1.195613145,0.808393153,7.19515617402792,1.271802,1.7078484,13.5537756,2.018644819709352,0.7209585389084041,0.934047129,22,732,0
