property,value,simulant,source
Mean Particle Size,90 µm,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
Particle Size Range,<0.01 µm – 1000 µm,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
Bulk density*,1.30 g/cm3,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
Grain Density,2.75 g/cm3,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
Void Ratio,1.11,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
Porosity,52.70%,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
Angle of Repose,47.5°,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
