gsm,plate,date,n_leaves,day,treatment,substrate
GSM5691019,P3,2021-05-16,7,14,JSC-1A lunar simulant,JSC1A
GSM5691019,P3,2021-05-17,7,15,JSC-1A lunar simulant,JSC1A
GSM5691019,P3,2021-05-18,8,16,JSC-1A lunar simulant,JSC1A
GSM5691020,P3,2021-05-06,0,4,Apollo 11 regolith,A11
GSM5691020,P3,2021-05-07,0,5,Apollo 11 regolith,A11
GSM5691020,P3,2021-05-08,0,6,Apollo 11 regolith,A11
GSM5691020,P3,2021-05-09,0,7,Apollo 11 regolith,A11
GSM5691020,P3,2021-05-10,0,8,Apollo 11 regolith,A11
GSM5691020,P3,2021-05-12,0,10,Apollo 11 regolith,A11
GSM5691020,P3,2021-05-13,0,11,Apollo 11 regolith,A11
GSM5691020,P3,2021-05-14,0,12,Apollo 11 regolith,A11
GSM5691020,P3,2021-05-15,0,13,Apollo 11 regolith,A11
GSM5691020,P3,2021-05-16,0,14,Apollo 11 regolith,A11
GSM5691020,P3,2021-05-17,0,15,Apollo 11 regolith,A11
GSM5691020,P3,2021-05-18,0,16,Apollo 11 regolith,A11
GSM5691021,P3,2021-05-06,0,4,Apollo 12 regolith,A12
GSM5691021,P3,2021-05-07,0,5,Apollo 12 regolith,A12
GSM5691021,P3,2021-05-08,0,6,Apollo 12 regolith,A12
GSM5691021,P3,2021-05-09,0,7,Apollo 12 regolith,A12
GSM5691021,P3,2021-05-10,0,8,Apollo 12 regolith,A12
GSM5691021,P3,2021-05-12,2,10,Apollo 12 regolith,A12
GSM5691021,P3,2021-05-13,2,11,Apollo 12 regolith,A12
GSM5691021,P3,2021-05-14,2,12,Apollo 12 regolith,A12
GSM5691021,P3,2021-05-15,2,13,Apollo 12 regolith,A12
GSM5691021,P3,2021-05-16,3,14,Apollo 12 regolith,A12
GSM5691021,P3,2021-05-17,4,15,Apollo 12 regolith,A12
GSM5691021,P3,2021-05-18,4,16,Apollo 12 regolith,A12
GSM5691022,P3,2021-05-06,0,4,Apollo 17 regolith,A17
GSM5691022,P3,2021-05-07,0,5,Apollo 17 regolith,A17
GSM5691022,P3,2021-05-08,0,6,Apollo 17 regolith,A17
GSM5691022,P3,2021-05-09,0,7,Apollo 17 regolith,A17
GSM5691022,P3,2021-05-10,0,8,Apollo 17 regolith,A17
GSM5691022,P3,2021-05-12,2,10,Apollo 17 regolith,A17
GSM5691022,P3,2021-05-13,2,11,Apollo 17 regolith,A17
GSM5691022,P3,2021-05-14,2,12,Apollo 17 regolith,A17
GSM5691022,P3,2021-05-15,3,13,Apollo 17 regolith,A17
GSM5691022,P3,2021-05-16,3,14,Apollo 17 regolith,A17
GSM5691022,P3,2021-05-17,3,15,Apollo 17 regolith,A17
GSM5691022,P3,2021-05-18,4,16,Apollo 17 regolith,A17
GSM5691023,P4,2021-05-06,2,4,JSC-1A lunar simulant,JSC1A
GSM5691023,P4,2021-05-07,2,5,JSC-1A lunar simulant,JSC1A
GSM5691023,P4,2021-05-08,2,6,JSC-1A lunar simulant,JSC1A
GSM5691023,P4,2021-05-09,3,7,JSC-1A lunar simulant,JSC1A
GSM5691023,P4,2021-05-10,4,8,JSC-1A lunar simulant,JSC1A
GSM5691023,P4,2021-05-12,6,10,JSC-1A lunar simulant,JSC1A
GSM5691023,P4,2021-05-13,6,11,JSC-1A lunar simulant,JSC1A
GSM5691023,P4,2021-05-14,7,12,JSC-1A lunar simulant,JSC1A
GSM5691023,P4,2021-05-15,8,13,JSC-1A lunar simulant,JSC1A
GSM5691023,P4,2021-05-16,9,14,JSC-1A lunar simulant,JSC1A
GSM5691023,P4,2021-05-17,9,15,JSC-1A lunar simulant,JSC1A
GSM5691023,P4,2021-05-18,10,16,JSC-1A lunar simulant,JSC1A
GSM5691024,P4,2021-05-06,0,4,Apollo 11 regolith,A11
GSM5691024,P4,2021-05-07,0,5,Apollo 11 regolith,A11
GSM5691024,P4,2021-05-08,0,6,Apollo 11 regolith,A11
GSM5691024,P4,2021-05-09,0,7,Apollo 11 regolith,A11
GSM5691024,P4,2021-05-10,0,8,Apollo 11 regolith,A11
GSM5691024,P4,2021-05-12,0,10,Apollo 11 regolith,A11
GSM5691024,P4,2021-05-13,0,11,Apollo 11 regolith,A11
GSM5691024,P4,2021-05-14,1,12,Apollo 11 regolith,A11
GSM5691024,P4,2021-05-15,2,13,Apollo 11 regolith,A11
GSM5691024,P4,2021-05-16,2,14,Apollo 11 regolith,A11
GSM5691024,P4,2021-05-17,2,15,Apollo 11 regolith,A11
GSM5691024,P4,2021-05-18,2,16,Apollo 11 regolith,A11
GSM5691025,P4,2021-05-06,0,4,Apollo 12 regolith,A12
GSM5691025,P4,2021-05-07,0,5,Apollo 12 regolith,A12
GSM5691025,P4,2021-05-08,2,6,Apollo 12 regolith,A12
GSM5691025,P4,2021-05-09,2,7,Apollo 12 regolith,A12
GSM5691025,P4,2021-05-10,2,8,Apollo 12 regolith,A12
