gene,label,gsm,substrate,leaf_rate_per_day,leaf_final,vst,spearman_rho
AT2G33810,SPL3,GSM5691011,JSC1A,0.6771073238139109,9.0,9.1300877055559,0.95
AT2G33810,SPL3,GSM5691012,A11,0.3887609396591434,4.0,8.52451046854822,0.95
AT2G33810,SPL3,GSM5691013,A12,0.4315983417779825,4.0,8.18345881432107,0.95
AT2G33810,SPL3,GSM5691014,A17,0.2266236757254721,2.0,7.23603592245285,0.95
AT2G33810,SPL3,GSM5691015,JSC1A,0.6628281897742978,9.0,9.21888765174837,0.95
AT2G33810,SPL3,GSM5691016,A11,0.2257024412713036,2.0,7.17723871833528,0.95
AT2G33810,SPL3,GSM5691017,A12,0.4214647627821281,5.0,8.40680248472085,0.95
AT2G33810,SPL3,GSM5691018,A17,0.5840626439428837,6.0,8.76742337180122,0.95
AT2G33810,SPL3,GSM5691019,JSC1A,0.5610317825886689,8.0,8.77873236009617,0.95
AT2G33810,SPL3,GSM5691020,A11,0.0,0.0,6.94176228144176,0.95
AT2G33810,SPL3,GSM5691021,A12,0.3671119299861816,4.0,8.28042296109442,0.95
AT2G33810,SPL3,GSM5691022,A17,0.3560571165361585,4.0,7.79878472616667,0.95
AT2G33810,SPL3,GSM5691023,JSC1A,0.7314601566098575,10.0,8.99435917651144,0.95
AT2G33810,SPL3,GSM5691024,A11,0.205895900506679,2.0,6.68612087967847,0.95
AT2G33810,SPL3,GSM5691025,A12,0.4859511745739291,6.0,8.89652018949623,0.95
AT2G33810,SPL3,GSM5691026,A17,0.3293413173652695,4.0,8.07859194184936,0.95
AT1G66350,RGL,GSM5691011,JSC1A,0.6771073238139109,9.0,9.79240642434859,0.9470588235294117
AT1G66350,RGL,GSM5691012,A11,0.3887609396591434,4.0,8.67768327425157,0.9470588235294117
AT1G66350,RGL,GSM5691013,A12,0.4315983417779825,4.0,9.24193619854996,0.9470588235294117
AT1G66350,RGL,GSM5691014,A17,0.2266236757254721,2.0,8.04370169982441,0.9470588235294117
AT1G66350,RGL,GSM5691015,JSC1A,0.6628281897742978,9.0,9.70569195193466,0.9470588235294117
AT1G66350,RGL,GSM5691016,A11,0.2257024412713036,2.0,7.677020529751,0.9470588235294117
AT1G66350,RGL,GSM5691017,A12,0.4214647627821281,5.0,9.54864014195321,0.9470588235294117
AT1G66350,RGL,GSM5691018,A17,0.5840626439428837,6.0,9.69563557484387,0.9470588235294117
AT1G66350,RGL,GSM5691019,JSC1A,0.5610317825886689,8.0,9.64465116291909,0.9470588235294117
AT1G66350,RGL,GSM5691020,A11,0.0,0.0,7.94808971765385,0.9470588235294117
AT1G66350,RGL,GSM5691021,A12,0.3671119299861816,4.0,9.05755861813006,0.9470588235294117
AT1G66350,RGL,GSM5691022,A17,0.3560571165361585,4.0,8.43802885704118,0.9470588235294117
AT1G66350,RGL,GSM5691023,JSC1A,0.7314601566098575,10.0,9.78255538990383,0.9470588235294117
AT1G66350,RGL,GSM5691024,A11,0.205895900506679,2.0,7.89052642334375,0.9470588235294117
AT1G66350,RGL,GSM5691025,A12,0.4859511745739291,6.0,8.88271148141445,0.9470588235294117
AT1G66350,RGL,GSM5691026,A17,0.3293413173652695,4.0,8.82601260412668,0.9470588235294117
AT2G36080,ABS2,GSM5691011,JSC1A,0.6771073238139109,9.0,7.43912801187317,-0.9352941176470588
AT2G36080,ABS2,GSM5691012,A11,0.3887609396591434,4.0,8.16434388614881,-0.9352941176470588
AT2G36080,ABS2,GSM5691013,A12,0.4315983417779825,4.0,8.46080734628154,-0.9352941176470588
AT2G36080,ABS2,GSM5691014,A17,0.2266236757254721,2.0,9.88515958345843,-0.9352941176470588
AT2G36080,ABS2,GSM5691015,JSC1A,0.6628281897742978,9.0,7.35649943435378,-0.9352941176470588
AT2G36080,ABS2,GSM5691016,A11,0.2257024412713036,2.0,9.9185273535012,-0.9352941176470588
AT2G36080,ABS2,GSM5691017,A12,0.4214647627821281,5.0,8.4213783745082,-0.9352941176470588
AT2G36080,ABS2,GSM5691018,A17,0.5840626439428837,6.0,7.7233060054899,-0.9352941176470588
AT2G36080,ABS2,GSM5691019,JSC1A,0.5610317825886689,8.0,7.71090926283629,-0.9352941176470588
AT2G36080,ABS2,GSM5691020,A11,0.0,0.0,8.85538435633609,-0.9352941176470588
AT2G36080,ABS2,GSM5691021,A12,0.3671119299861816,4.0,8.67996900182208,-0.9352941176470588
AT2G36080,ABS2,GSM5691022,A17,0.3560571165361585,4.0,8.72517559466331,-0.9352941176470588
AT2G36080,ABS2,GSM5691023,JSC1A,0.7314601566098575,10.0,7.70359542555988,-0.9352941176470588
AT2G36080,ABS2,GSM5691024,A11,0.205895900506679,2.0,11.3606788926806,-0.9352941176470588
AT2G36080,ABS2,GSM5691025,A12,0.4859511745739291,6.0,8.50536960076368,-0.9352941176470588
AT2G36080,ABS2,GSM5691026,A17,0.3293413173652695,4.0,8.68686876574649,-0.9352941176470588
