gsm,candidate_sowing_dates
GSM5691011,2021-04-27 2021-04-28
GSM5691012,2021-04-25 2021-04-26 2021-04-27
GSM5691013,2021-04-24 2021-04-25 2021-04-26 2021-04-27
GSM5691014,2021-04-22 2021-04-23 2021-04-24 2021-04-25 2021-04-26 2021-04-27
GSM5691015,2021-04-27 2021-04-28
GSM5691016,2021-04-21 2021-04-22 2021-04-23 2021-04-24 2021-04-25 2021-04-26 2021-04-27
GSM5691017,2021-04-25 2021-04-26 2021-04-27
GSM5691018,2021-04-25 2021-04-26 2021-04-27
GSM5691019,2021-04-28
GSM5691020,2021-04-15 2021-04-16 2021-04-17 2021-04-18 2021-04-19 2021-04-21 2021-04-22 2021-04-23 2021-04-24 2021-04-25 2021-04-26 2021-04-27
GSM5691021,2021-04-26 2021-04-27
GSM5691022,2021-04-27
GSM5691023,2021-04-28
GSM5691024,2021-04-24 2021-04-25 2021-04-26 2021-04-27
GSM5691025,2021-04-26 2021-04-27
GSM5691026,2021-04-24 2021-04-25 2021-04-26 2021-04-27
