gene,SYMBOL,GENENAME
AT1G77480,,
AT1G77490,TAPX,"Encodes a chloroplastic thylakoid ascorbate peroxidase tAPX.  Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells.  Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms."
AT1G77500,,
AT1G77510,ATPDI6|ATPDIL1-2|PDI6|PDIL1-2,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response."
AT1G77520,,
AT1G77530,,
AT1G77540,,"Encodes a H3/H4 histone acetyltransferase. Belongs to the GNAT family, whose many members are involved in histone acetylation and chromatin remodeling, and are important for the regulation of cell growth and development."
AT1G77550,,
AT1G77570,AtREN1|REN1,
AT1G77580,VETH3,
AT1G77590,LACS9,Encodes major plastidic long chain acyl-CoA synthetase with a slight substrate preference of oleic acid over any of the other fatty acids.
AT1G77600,AtPDS5B|PDS5B,
AT1G77610,,
AT1G77620,,
AT1G77630,LYM3|LYP3,
AT1G77640,,"encodes a member of the DREB subfamily A-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 15 members in this subfamily including RAP2.1, RAP2.9 and RAP2.10."
AT1G77660,,
AT1G77670,,
AT1G77680,AtRRP44B|RRP44B|SOV,
AT1G77690,LAX3,"Encodes an auxin influx carrier LAX3 (Like Aux1) that promotes lateral root emergence.  Auxin-induced expression of LAX3 in turn induces a selection of cell-wall-remodelling enzymes, which are likely to promote cell separation in advance of developing lateral root primordia."
AT1G77700,OSML|UFM1,
AT1G77710,AtCCP2|CCP2,
AT1G77720,PPK1,Encodes a predicted protein kinase based on sequence similarity.
AT1G77730,,
AT1G77740,PIP5K2,"Encodes PIP5K2, a phosphatidylinositol-4-phosphate 5-kinase (PtdIns(4)P 5-kinase 2; or PIP5K2)."
AT1G77750,uS13m,
AT1G77760,GNR1|NIA1|NR1,"Encodes the cytosolic minor isoform of nitrate reductase (NR). Involved in the first step of nitrate assimilation, it contributes about 15% of the nitrate reductase activity in shoots. Similar to molybdopterin oxidoreductases at the N-terminus, and to FAD/NAD-binding cytochrome reductases at the C-terminus. Cofactors: FAD, heme iron (cytochrome B-557), and molybdenum-pterin."
AT1G77765,,
AT1G77770,,
AT1G77800,PRE2,
AT1G77810,,
AT1G77840,,
AT1G77850,ARF17,Posttranscriptionally regulated by miR160 and is essential for proper development.Regulates early auxin response genes.
AT1G77855,,
AT1G77860,KOM,mutant has Altered morphology of pollen exine wall; Seven-Path Transmembrane Protein
AT1G77870,MUB5,
AT1G77880,,
AT1G77885,,
AT1G77890,ATG14a,
AT1G77920,TGA7,
AT1G77930,DJC65,
AT1G77940,eL30y|RPL30B,
AT1G77950,AGL67,
AT1G77960,,
AT1G77990,AST56|SULTR2;2,cDNA encoding a sulfate transporter.
AT1G77992,,
AT1G78000,SEL1|SULTR1;2,Encodes a sulfate transporter that can restore sulfate uptake capacity of a yeast mutant lacking sulfate transporter genes.
AT1G78010,TrmE,
AT1G78020,FLZ6,
AT1G78030,,
AT1G78040,,
AT1G78050,PGM,
AT1G78060,,
AT1G78070,,
AT1G78080,AtWIND1|ERF59|RAP2.4|WIND1,Encodes a member of the DREB subfamily A-6 of ERF/AP2 transcription factor family (RAP2.4). The protein contains one AP2 domain. Role in mediating light and ethylene signaling.
AT1G78090,ATTPPB|TPPB,homologous to the C-terminal part of microbial trehalose-6-phosphate phosphatases
AT1G78100,AUF1,
AT1G78110,,
AT1G78120,TPR12,
AT1G78130,UNE2,
AT1G78140,,
AT1G78150,,
AT1G78170,EAU1,
AT1G78172,,
AT1G78180,,
AT1G78190,AtTRM112a|TRM112a,
AT1G78200,,
AT1G78210,,
AT1G78230,,
AT1G78240,OSU1|QUA2|TFA2|TSD2,"Encodes TSD2 (TUMOROUS SHOOT DEVELOPMENT2), a putative methyltransferase with an essential role in cell adhesion and coordinated plant development."
AT1G78260,,
AT1G78265,,
AT1G78270,AtUGT85A4|UGT85A4,
AT1G78280,JMJ21,
AT1G78290,SNRK2-8|SNRK2.8|SRK2C,
AT1G78300,14-3-3OMEGA|GF14|GRF2,G-box binding factor GF14 omega encoding a 14-3-3 protein
AT1G78310,VQ9,
AT1G78320,ATGSTU23|GSTT23|GSTU23,Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002).
AT1G78340,ATGSTU22|GSTU22,Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002).
AT1G78370,ATGSTU20|GSTU20,Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002).
AT1G78380,ATGSTU19|GST8|GSTU19,"Encodes a glutathione transferase that is a member of Tau GST gene family. Expression is induced by drought stress, oxidative stress, and high doses of auxin and cytokinin. naming convention according to Wagner et al. (2002) The expression of this gene is upregulated by herbicide safeners such as benoxacor and fenclorim."
AT1G78390,ATNCED9|NCED9,"Encodes 9-cis-epoxycarotenoid dioxygenase, a key enzyme in the biosynthesis of abscisic acid. The expression of this gene increases during the first 6h of imbibition."
AT1G78410,,
AT1G78420,DA2,
AT1G78430,ICR4|RIP2,
AT1G78440,ATGA2OX1|GA2OX1,Encodes a gibberellin 2-oxidase that acts on C19 gibberellins.
AT1G78450,,
AT1G78460,cHBP3,
AT1G78476,,
AT1G78480,,
AT1G78490,CYP708A3,member of CYP708A
AT1G78500,PEN6,"Encodes a protein with pentacyclic triterpene synthase activity. In addition to the compounds lupeol, &#945;-amyrin and bauerenol, this enzyme was also shown to produce two <i>seco</i>-triterpenes: &#945;- and &#946;-<i>seco</i>-amyrin."
AT1G78510,AtSPS1|SPS1,Encodes a protein with solanesyl diphosphate synthase activity.
AT1G78520,,
AT1G78530,,
AT1G78540,ATSHB|SHB|STATLB,Encodes a protein that contains an SH2 domain. It can pull down a 120-kD tyrosine-phosphorylated protein in vitro. It is predicted to act as a transcription factor.
AT1G78550,,
AT1G78560,BASS1,
AT1G78570,ATRHM1|RHM1|ROL1,"Encodes a UDP-L-Rhamnose synthase involved in the biosynthesis of rhamnose, a major monosaccharide component of pectin. Catalyzes the conversion of UDP-D-Glc to UDP-L-Rha.  The dehydrogenase domain of RHM1 was shown to catalyze the conversion of UDP-D-Glc to the reaction intermediate UDP-4-keto-6-deoxy-D-Glc using recombinant protein assay but the activity of the full-length protein was not determined as it could not be expressed in <i>E. coli</i>."
AT1G78580,ATTPS1|TPS1,Encodes an enzyme putatively involved in trehalose biosynthesis. The protein has a trehalose synthase (TPS)-like domain but no trehalose phosphatase (TPP)-like domain.  ATTPS1 is able to complement yeast tps1 mutants in vivo. The gene product modulates cell growth but not cell differentiation by determining cell wall deposition and cell division.
AT1G78590,ATNADK-3|NADK3,Encodes a NADH kinase which can synthesize NADPH from NADH; also utilizes NAD+ as substrate although NADH is the preferred substrate.
AT1G78600,BBX22|DBB3|LZF1|STH3,
AT1G78610,MSL6,
AT1G78620,VTE6,
AT1G78630,emb1473|uL13c,
AT1G78650,POLD3,"Similar to DNA polymerase delta (POLD3), which in other organism was shown to be involved in the elongation of DNA replication."
AT1G78660,ATGGH1|GGH1,The Arabidopsis protein AtGGH1 is a gamma-glutamyl hydrolase cleaving pentaglutamates to yield di- and triglutamates. The enzyme is involved in the tetrahydrofolate metabolism and located to the vacuole.
AT1G78670,ATGGH3|GGH3,
AT1G78680,ATGGH2|GGH2,The Arabidopsis protein AtGGH2 is a gamma-glutamyl hydrolase acting specifically on monoglutamates. The enzyme is involved in the tetrahydrofolate metabolism and located to the vacuole.
AT1G78690,At1g78690p,
AT1G78700,BEH4,
AT1G78720,,
AT1G78730,,
AT1G78750,,
AT1G78760,,
AT1G78770,APC6,
AT1G78780,,
AT1G78790,AtMHF2|MHF2,
AT1G78800,,
AT1G78810,,
AT1G78815,LSH7,
AT1G78820,,
AT1G78830,CCLP|MNB1,
AT1G78850,GAL1|MBL1,"curculin-like (mannose-binding) lectin family protein, low similarity to ser/thr protein kinase from Zea mays (GI:2598067); contains Pfam lectin (probable mannose binding) domain PF01453 but not the protein kinase domain of the Z. mays protein"
AT1G78860,GAL2,"curculin-like (mannose-binding) lectin family protein, low similarity to Ser/Thr protein kinase (Zea mays) GI:2598067; contains Pfam profile PF01453: Lectin (probable mannose binding) but not the protein kinase domain of the Z. mays protein"
AT1G78865,,
AT1G78870,UBC13A|UBC35,"UBC35/UBC13A encodes a protein that may play a role in DNA damage responses and error-free post-replicative DNA repair by participating in lysine-63-based polyubiquitination reactions. UBC35/UBC13A can form diubiquitin and triubiquitin chains in combination with MMZ1,2,3,4/(UEV1A,B,C,D) in vitro. It can also functionally complement an mms2 ubc13 mutation in budding yeast by increasing the double mutant's viability in the presence of the DNA damaging agent MMS, when it is co-expressed with MMZ / UEV1 genes. A wild type phenotype is restored with MMZ3/UEV1C and MMZ4/UEV1D, but only partial complementation is achieved with MMZ1/UEV1A or MMZ2/UEV1B."
AT1G78880,SHOU4,
AT1G78890,,
AT1G78895,,
AT1G78900,VHA-A,Encodes catalytic subunit A of the vacuolar ATP synthase.  Mutants are devoid of vacuolar ATPase activity as subunit A is encoded only by this gene and show strong defects in male gametophyte development and in Golgi stack morphology.
AT1G78910,FCS1|RLUA1,
AT1G78915,,
AT1G78920,AtVHP2;1|AVP2|AVPL1|VHP2;1|VP2,Encodes a type II H+-PPases that localizes to and function as a proton pump of the Golgi apparatus in most tissues except for mature leaves.
AT1G78922,,
AT1G78930,mTERF16,
AT1G78940,,
AT1G78950,AtBAS|AtLUP4|BAS,
AT1G78955,CAMS1,
AT1G78960,ATLUP2|LUP2,"Encodes a multifunctional 2-3-oxidosqualene (OS)-triterpene cyclase that can cyclize OS into lupeol, alpha- and beta-amyrin."
AT1G78970,ATLUP1|LUP1,Lupeol synthase. Converts oxidosqualene to multiple triterpene alcohols and a triterpene diols. This conversion proceeds through the formation of a 17&#946;-dammarenyl cation.
AT1G78990,,
AT1G78995,,
AT1G79000,ATHAC1|ATHPCAT2|HAC1|PCAT2,"Homologous to CREB-binding protein, a co-activator of transcription with histone acetyl-transferase activity. No  single prior lysine acetylation is sufficient to block HAC1 acetylation of the H3 or H4 peptides,  suggesting that HAC1, HAC5, and HAC12 can acetylate any  of several lysines present in the peptides. HAM2 acetylates histone H4 lysine 5. A plant line expressing an RNAi construct targeted against HAC1 has reduced rates of agrobacterium-mediated root transformation."
AT1G79010,,
AT1G79020,EPL1B,
AT1G79030,,
AT1G79040,PSBR,"Encodes for the 10 kDa PsbR subunit of photosystem II (PSII). This subunit appears to be involved in the stable assembly of PSII, particularly that of the oxygen-evolving complex subunit PsbP. Mutants defective in this gene have reduced amounts of subunits PsbP and PsbQ in PSII. In turn, assembly of PsbR is dependent on the presence of PsbJ."
AT1G79050,RECA1,
AT1G79060,,
AT1G79070,,
AT1G79075,,
AT1G79080,,
AT1G79090,PAT1,
AT1G79100,,
AT1G79103,,
AT1G79110,BRG2,
AT1G79120,,
AT1G79130,SAUR40,
AT1G79150,AtNOC3|NOC3,
AT1G79160,,
AT1G79180,ATMYB63|MYB63,Member of the R2R3 factor gene family.
AT1G79190,,
AT1G79200,AtSCI1|SCI1,
AT1G79210,,
AT1G79220,mTERF17,
AT1G79230,ATMST1|ATRDH1|MST1|ST1|STR1,"encodes a sulfurtransferase/rhodaneses, which belongs to a group of enzymes widely distributed in all three phyla that catalyze the transfer of sulfur from a donor to a thiophilic acceptor substrate. The protein and transcript levels are NOT affected by senescence or exogenous cyanide, suggesting that sulfurtransferases are involved in cyanide detoxification."
AT1G79250,AGC1.7,
AT1G79260,,
AT1G79270,ECT8,
AT1G79280,AtTPR|NUA,"Encodes a 237-kDA protein with similarity to vertebrate Tpr, a long coiled-coil proteins of nuclear pore inner basket filaments.  It is localized to the inner surface of the nuclear envelope and is a component of the nuclear pore-associated steps of sumoylation and mRNA export in plants.  Mutations affect flowering time regulation and other developmental processes.  Probably acts in the same pathway as ESD4 in affecting flowering time, vegetative and inflorescence development."
AT1G79310,AtMC7|AtMCP2a|MC7|MCP2a,
AT1G79320,AtMC6|AtMCP2c|MC6|MCP2c,
AT1G79330,AMC6|ATMC5|ATMCP2b|MC5|MCP2b,"Metacaspase AtMCPb2/AMC6. Caspase family protein. Arginine/lysine-specific cysteine protease activity. Induces apoptosis in yeast. Contains Pfam domain, PF00656: ICE-like protease (caspase) p20 domain."
AT1G79340,AtMC4|AtMCP2d|MC4|MCA4|MCP2d,
AT1G79350,EMB1135|FGT1,
AT1G79360,ATOCT2|OCT2,
AT1G79380,RGLG4,
AT1G79390,,
AT1G79400,ATCHX2|CHX2,member of Putative Na+/H+ antiporter family
AT1G79410,AtOCT5|OCT5,
AT1G79420,BDR2,
AT1G79430,APL|WDY,"Encodes gene product that is required for several aspects of phloem development in the root: (1) the specific divisions organizing the phloem pole, (2) sieve element differentiation and (3) the expression of a companion-specific gene.  Mutant has a defect in the organization of phloem poles in the root. apl seedlings have a short, determinate root with only occasional lateral branches."
AT1G79440,ALDH5F1|ENF1|SSADH|SSADH1,"Encodes a mitochondrial succinic semialdehyde dehydrogenase (SSADH).  Nomenclature according to Kirch, et al (2004)."
AT1G79450,ALIS5,
AT1G79460,ATKS|ATKS1|GA2|KS|KS1,Encodes for a protein with ent-kaurene synthase B activity which catalyzes the second step in the cyclization of GGPP to ent-kaurene in the gibberellins biosynthetic pathway.
AT1G79470,,
AT1G79480,,
AT1G79490,EMB2217,
AT1G79500,AtkdsA1|KDO8PS,"Encodes a protein with 3-deoxy-8-phosphooctulonate synthase (KDOP synthase) activity which is involved in the biosynthesis of KDO, a component of cell wall rhamnogalacturonan II."
AT1G79510,,
AT1G79520,,
AT1G79529,,
AT1G79530,GAPCP-1,"Encodes one of the chloroplast/plastid localized GAPDH isoforms (GAPCp1/At1g79530 and GAPCp2/At1g16300). gapcp double mutants display a drastic phenotype of arrested root development, dwarfism and sterility. GAPCps are important for the synthesis of serine in roots."
AT1G79540,,
AT1G79550,PGK|PGK3|PGKc,Encodes cytosolic phosphoglycerate kinase (PGK).
AT1G79560,EMB1047|EMB156|EMB36|FTSH12,Encodes an FtsH protease that is localized to the chloroplast. Mutations in this locus result in embryo lethality.
AT1G79570,RAF20,
AT1G79580,ANAC033|SMB|URP7,"NAC-domain protein. Involved in root cap development. Involved in a regulatory feedback loop with FEZ. FEZ activates SMB in hte root cap daughter cells soon after division, and SMB in turn represses FEZ expression in these cells, thereby preventing further stem cell divisions."
AT1G79590,ATSYP52|SYP52,Encodes one of 24 Arabidopsis syntaxins. Its mRNA has been shown to be expressed.
AT1G79600,ABC1K3,
AT1G79610,ATNHX6|NHX6,
AT1G79620,VRLK1,
AT1G79630,,
AT1G79640,,
AT1G79650,AtAO1|RAD23B,"Encodes a member of the RADIATION SENSITIVE23 (RAD23) family: AT1G16190(RAD23A), AT1G79650(RAD23B), AT3G02540(RAD23C), AT5G38470(RAD23D). RAD23 proteins play an essential role in the cell cycle, morphology, and fertility of plants through their delivery of UPS (ubiquitin/26S proteasome system) substrates to the 26S proteasome."
AT1G79660,,
AT1G79670,RFO1|WAKL22,Encodes a receptor-like kinase that does not contain an extracellular leucine-rich repeat domain.  A novel type of dominant disease-resistance protein that confers resistance to a broad spectrum of Fusarium races.
AT1G79680,ATWAKL10|WAKL10,
AT1G79690,AtND|ATNUDT3|NUDT3,
AT1G79700,WRI4,
AT1G79710,,
AT1G79720,,
AT1G79730,ELF7,"Encodes a PAF1 homolog that is involved in the control of flowering time by elevating FLC expression to a level that creates the vernalization-responsive, winter-annual habit.  Yeast PAF1 is a component of a five-member complex that associates with RNA pol II and is thought to regulate gene expression by recruiting SET1 (a histone 3 Lys 4 [H3-K4] methyl transferase) to the initially transcribed [5'] regions of target chromatin.  Mutants display reduced H3-K4 methylation in both FLC and FLM chromatin."
AT1G79740,,
AT1G79750,ATNADP-ME4|NADP-ME4,The malic enzyme (EC 1.1.1.40) encoded by AtNADP-ME4 is localized to chloroplasts. The gene is expressed throughout the whole plant and during embryogenesis and germination. A possible involvement in the fatty acid biosynthesis has been proposed.
AT1G79760,DTA4,Identified as target of the AGL15 binding motif CArG.
AT1G79770,,
AT1G79780,CASPL3A2,
AT1G79790,AtcpFHy1|FHY1|PyrP1,
AT1G79810,ATPEX2|PEX2|TED3,Dominant suppressor of det1 phenotypes. Encodes a peroxisomal protein essential for Arabidopsis growth. Inserted directly from the cytosol into peroxisomes.
AT1G79820,SGB1,
AT1G79830,GC5,"This gene is predicted to encode a protein that functions as a Golgi apparatus structural component known as a golgin in mammals and yeast.  A fluorescently-tagged version of GC5 co-localizes with Golgi markers, and this localization appears to be replicated using the C-terminal (139 aa) portion of the protein. The C-terminal portion of the protein can also specifically interact with two members of the Rab family of GTPases (RabH1b and RabH1c)."
AT1G79840,GL2,"Glabra 2, a homeodomain protein affects epidermal cell identity including trichomes, root hairs, and seed coat. It also down-regulates seed oil content. Expressed in atrichoblasts and required to suppress root hair development. Also expressed abundantly during early seed development.  Directly regulated by WER."
AT1G79850,CS17|PDE347|PRPS17|RPS17|uS17c,nuclear-encoded 30S chloroplast ribosomal protein S17
AT1G79860,ATROPGEF12|MEE64|ROPGEF12,"Encodes a member of KPP-like gene family, homolog of KPP (kinase partner protein) gene in tomato.  Also a member of the RopGEF (guanine nucleotide exchange factor) family, containing the novel PRONE domain (plant-specific Rop nucleotide exchanger), which is exclusively active towards members of the Rop subfamily. Coexpression of AtPRK2a with AtRopGEF12 resulted in isotropic pollen tube growth  Growth."
AT1G79870,HPPR2,
AT1G79880,AtLa2|La2,
AT1G79890,,
AT1G79900,ATMBAC2|BAC2,encodes a mitochondrial ornithine transporter that exports ornithine from the mitochondria to the cytosol
AT1G79910,ISTL8,
AT1G79915,,
AT1G79920,AtHsp70-15|HSP70-15,
AT1G79930,AtHsp70-14|HSP91,"encodes high molecular weight heat shock protein 70 not a HSP90 homolog, mRNA is constitutively expressed but transiently induced after heat shock"
AT1G79940,ATERDJ2A|Sec.,J domain protein localized in ER membrane. Mutants have defective pollen germination.
AT1G79950,RTEL1,
AT1G79960,ATOFP14|OFP14,
AT1G79970,,
AT1G79985,,
AT1G79990,,
AT1G80000,BTZ1,
AT1G80010,FRS8,
AT1G80030,DJA7,
AT1G80040,,
AT1G80050,APT2|ATAPT2|PHT1.1,"Encodes an adenosine phosphoribosyl transferase(E.C:2.4.2.7), a constitutively expressed enzyme involved in the one-step salvage of adenine to AMP. This isozyme has high affinity for cytokinins and is likely to be localized to the cytosol."
AT1G80060,,
AT1G80070,EMB14|EMB177|EMB33|PRP8|SUS2,a genetic locus involved in embryogenesis. Mutations in this locus result in an abnormal suspensor and embryo lethality.
AT1G80080,AtRLP17|TMM,Encodes a transmembrane leucine-repeat containing receptor-like protein that is expressed in proliferative postprotodermal cells. Recessive mutation leads to disruption of asymmetric cell division during stomata development.
AT1G80090,CBSX4,
AT1G80100,AHP6|HP6,"AHP6 lacks the conserved histidine residue (Asn83 in AHP6b), which is required for  phosphotransfer, present in the other  AHPs. AHP6 does not appear to  have phosphotransfer activity. Acts  as an inhibitor of cytokinin signaling by interacting with the phosphorelay machinery. Expressed in developing protoxylem and associated  pericycle cell files. Negative regulator  of cytokinin signaling. Expression is down-regulated by cytokinins. There are two alternatively spliced genes for this locus, AHP6a and AHP6b, differing in the length of  the first exon. In ahp6-2 seedlings,  only the AHP6a transcript is present. Members of the AHP gene family include: AT3G21510 (AHP1), AT3G29350 (AHP2), AT5G39340 (AHP3), AT3G16360 (AHP4), AT1G03430 (AHP5) and AT1G80100 (AHP6)."
AT1G80110,ATPP2-B11|PP2-B11,
AT1G80120,,
AT1G80130,,
AT1G80150,,
AT1G80160,GLYI7,
AT1G80165,,
AT1G80170,,
AT1G80180,MASS1,
AT1G80190,PSF1,"Similar to the PSF1 component of GINS complex, which in other organism was shown to be involved in the initiation of DNA replication."
AT1G80200,,
AT1G80210,AtBRCC36A|BRCC36A,
AT1G80230,,
AT1G80240,DGR1,
AT1G80245,,
AT1G80260,emb1427,
AT1G80270,PPR596,
AT1G80280,,
AT1G80290,,a member of the Glycosyltransferase Family 64 (according to CAZy Database)
AT1G80300,ATNTT1|NTT1,
AT1G80310,MOT2,
AT1G80315,,
AT1G80320,,
AT1G80325,,
AT1G80340,ATGA3OX2|GA3OX2|GA4H,Encodes a protein with gibberellin 3 &#946;-hydroxylase activity. The protein was heterologously expressed in E. coli and shown to catalyze the hydroxylation of both GA9 and GA20.
AT1G80350,AAA1|ATKTN1|BOT1|ERH3|FRA2|FRC2|FRC4|FTR|KATANIN|KTN1|LUE1,encodes a p60 katanin protein that is expressed throughout  the plant.  Required for the specification of cell fates from early in development (in the meristem)  through differentiation and for normal postmitotic organization of cortical microtubules into transverse arrays in root epidermis cells. Mutants display cytoskeletal defects.
AT1G80360,ISS1|VAS1,
AT1G80370,CYCA2;4,
AT1G80380,GLYK,encodes a glycerate kinase which catalyzes the last step of photorespiration C2 cycle.
AT1G80390,IAA15,Member of a multigene family of Auxin responsive genes.
AT1G80400,,
AT1G80410,EMB2753|MUSE6|NAA15|OMA,
AT1G80420,ATXRCC1|XRCC1,
AT1G80440,KFB20|KMD1,
AT1G80450,,
AT1G80460,GLI1|NHO1,"Encodes a protein similar to glycerol kinase, which converts glycerol to glycerol 3-phosphate and performs a rate-limiting step in glycerol metabolism. This gene is required for both general and specific resistance against bacteria and fungi. Arabidopsis thaliana glycerol kinase (GLR1) mRNA.Involved in flagellin-induced non-host resistance to Pseudomonas. Coronatine partially suppresses flagellin-induced expression of NHO1."
AT1G80480,PTAC17,
AT1G80490,TPR1,
AT1G80500,TRAPPC2,
AT1G80510,AtAvt6E,Encodes a close relative of the amino acid transporter ANT1 (AT3G11900).
AT1G80520,,
AT1G80530,,
AT1G80540,,
AT1G80550,,
AT1G80555,,
AT1G80560,ATIMD2|IMD2,The AtIMD2 is one out of 3 genes encoding the enzyme 3-isopropylmalate dehydrogenase involved in leucine biosynthesis in Arabidopsis. Its subcellular location has been targeted to plastids.
AT1G80570,,
AT1G80600,TUP5|WIN1,Encodes HopW1-1-Interacting protein 1 (WIN1).  Interacts with the P. syringae effector HopW1-1.  WIN1 is a putative acetylornithine transaminase.  Modulates plant defenses against bacteria.  Three WIN proteins are identified so far (WIN1: AT1G80600; WIN2: AT4G31750; WIN3: AT5G13320).
AT1G80610,,
AT1G80620,uS15my,
AT1G80630,,
AT1G80640,,
AT1G80650,RTL1,
AT1G80660,AHA9|HA9,
AT1G80670,RAE1,"This gene is predicted to encode a protein with a DWD motif. It can bind to DDB1a in Y2H assays, and may be involved in the formation of a CUL4-based E3 ubiquitin ligase"
AT1G80680,MOS3|NUP96|PRE|SAR3,"Mutant has early-flowering phenotype, encodes a putative nucleoporin. Required for the activation of downstream defense pathways by the snc1 mutation. Involved in basal resistance against bacterial pathogens."
AT1G80690,,
AT1G80700,,
AT1G80710,DRS1,"Encodes a WD40 repeat family protein containing a DWD (DDB1 binding WD40) motif. Mutant analysis demonstrates that DRS1 promotes tolerance to drought stress, possibly mediated by ABA, and suggests involvement of DDB1 Cul4mediated protein degradation in drought response."
AT1G80720,,
AT1G80730,ATZFP1|ZFP1,"Encodes a zinc finger protein and is expressed at high levels in the shoot apex, including the apical meristem, developing leaves and the developing vascular system. expression induced three days post germination. T-DNA insertion mutant has a dominant phenotype in leaf initiation."
AT1G80740,CMT1|DMT4,ecotype Kl-0 chromomethylase (CMT1). A plant line expressing an RNAi construct directed against DMT4 has reduced agrobacterium-mediated tumor formation.
AT1G80745,,
AT1G80750,RPL7A|uL30z,
AT1G80760,NIP6|NIP6;1|NLM7,"Encodes a protein with boron transporter activity. It helps to preferentially direct boron to young developing tissues in the shoot, such as immature leaves, under low boron conditions. This boron channel appears to be impermeable to water, unlike the closely related NIP5;1 boron transporter. This protein also allows the transport of glycerol, urea, and formimide but not larger uncharged solutes such as arabitol and sucrose when it is expressed heterologously."
AT1G80770,PDE318,
AT1G80780,CAF1j,
AT1G80790,FDM5,
AT1G80810,AtPDS5D|PDS5D|SL2,
AT1G80820,ATCCR2|CCR2,Encodes an cinnamoyl CoA reductase isoform.  Involved in lignin biosynthesis.
AT1G80830,ATNRAMP1|NRAMP1|PMIT1,Thought to be involved in iron homeostasis. Induced in leaves in response to iron deficiency. Transgenic plants accumulate toxic levels of iron. Gene complements yeast iron uptake mutants.
AT1G80840,ATWRKY40|WRKY40,"Pathogen-induced transcription factor. Binds W-box sequences  in vitro. Forms protein complexes with itself and with WRKY40 and WRKY60. Coexpression with WRKY18 or WRKY60 made plants more susceptible to both P. syringae and B. cinerea. WRKY18, WRKY40, and WRKY60 have partially redundant roles in response to the hemibiotrophic bacterial pathogen Pseudomonas syringae and the necrotrophic fungal pathogen Botrytis cinerea, with WRKY18 playing a more important role than the other two."
AT1G80850,,
AT1G80860,ATPLMT|PLMT,"Encodes a single-copy phospholipid N-methyltransferase, involved in phosphatidylcholine biosynthesis. Has specific activity towards phosphatidylmonomethylethanolamine and phosphatidyldimethylethanolamine, but not phosphatidylethanolamine."
AT1G80865,,
AT1G80870,,
AT1G80880,,
AT1G80890,OEP9.2,
AT1G80900,ATMGT1|MGT1|MRS2-10,Transmembrane magnesium transporter. One of nine family members.
AT1G80910,CCZ1b,
AT1G80920,AtJ8|AtToc12|DJC22|J8|Toc12,A nuclear encoded soluble protein found in the chloroplast stroma.
AT1G80930,,
AT1G80940,,
AT1G80950,AtLPEAT1|LPEAT1,
AT1G80960,,
AT1G80970,,
AT1G80980,,
AT2G01008,,
AT2G01021,,
AT2G01060,,
AT2G01070,7TM5,
AT2G01080,,
AT2G01090,,
AT2G01100,,
AT2G01110,APG2|PGA2|TATC|UNE3,mutant is Albino and pale green; Chloroplast Protein Translocation (tatC). Core subunit of the chloroplast Tat translocase. Integral chloroplast thylakoid membrane protein.
AT2G01120,ATORC4|ORC4,"Origin Recognition Complex subunit 4. Involved in the initiation of DNA replication. Regulated transcriptionally during cell cycle, peaking at G1/S-phase. Target of E2F/DF family of transcription factors. Interacts with all ORC subunits except ORC1b."
AT2G01130,,
AT2G01140,AtFBA3|FBA3|PDE345,
AT2G01150,RHA2B,"Encodes a RING-H2 finger protein that is expressed in vascular tissue, root tips, embryos and pistils."
AT2G01170,AtGABP|BAT1|GABP,"Encodes a bidirectional amino acid transporter that can transport ala, arg, glu and lys but not GABA or pro with both export and import activity.  Its expression is localized in the vascular tissues suggesting a function in amino acids export from the phloem into sink tissue."
AT2G01175,,
AT2G01180,ATLPP1|ATPAP1|LPP1|PAP1,Encodes phosphatidate phosphatase. Up-regulated by genotoxic stress (gamma ray or UV-B) and elicitor treatments with mastoparan and harpin. Expressed in roots and leaves.
AT2G01190,PDE331,
AT2G01200,IAA32|MEE10,Belongs to auxin inducible gene family.
AT2G01210,ORPK1|ZAR1,
AT2G01220,,
AT2G01250,RPL7B|uL30y,
AT2G01260,,
AT2G01270,AtQSOX2|QSOX2,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily.  This protein also belongs to the quiescin-sulfhydryl oxidase (QSOX) family, which possess an Erv1-like domain at the COOH terminus in addition to a TRX domain."
AT2G01275,,
AT2G01280,BRF3|MEE65,
AT2G01290,RPI2,"Cytosolic ribose-5-phosphate isomerase.  Knockout mutation causes chloroplast dysfunction, late flowering  and premature cell death."
AT2G01300,,
AT2G01320,ABCG7,
AT2G01330,AIP1-1,
AT2G01340,At17.1,Encodes a protein whose expression is responsive to nematode infection.
