oxide,lhs1_wt_pct,ce5_wt_pct,difference_wt_pct
Al2O3,26.6,10.8,15.8
CaO,12.8,11.0,1.8000000000000007
FeO,2.7,22.5,-19.8
K2O,0.5,0.19,0.31
MgO,1.6,6.48,-4.880000000000001
MnO,0.1,0.28,-0.18000000000000002
Na2O,2.9,0.26,2.6399999999999997
P2O5,0.1,0.23,-0.13
SiO2,51.2,42.2,9.0
TiO2,0.6,5.0,-4.4
