component,wt_pct,simulant,source
Anorthosite,74.4,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
Glass-rich basalt,24.7,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
Ilmenite,0.4,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
Pyroxene (Bronzite),0.3,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
Olivine,0.2,LHS-1 (Exolith lunar highlands simulant),https://exolithsimulants.com/collections/regolith-simulants/products/lhs-1-lunar-highlands-simulant
