"","(Apollo 11 regolith)v(Apollo 12 regolith)","(Apollo 11 regolith)v(Apollo 17 regolith)","(Apollo 11 regolith)v(JSC-1A lunar simulant)","(Apollo 12 regolith)v(Apollo 17 regolith)","(Apollo 12 regolith)v(JSC-1A lunar simulant)","(Apollo 17 regolith)v(JSC-1A lunar simulant)","(Apollo 12 regolith)v(Apollo 11 regolith)","(Apollo 17 regolith)v(Apollo 11 regolith)","(JSC-1A lunar simulant)v(Apollo 11 regolith)","(Apollo 17 regolith)v(Apollo 12 regolith)","(JSC-1A lunar simulant)v(Apollo 12 regolith)","(JSC-1A lunar simulant)v(Apollo 17 regolith)"
"1","Apollo.11.regolith","Apollo.11.regolith","Apollo.11.regolith","Apollo.12.regolith","Apollo.12.regolith","Apollo.17.regolith","Apollo.12.regolith","Apollo.17.regolith","JSC.1A.lunar.simulant","Apollo.17.regolith","JSC.1A.lunar.simulant","JSC.1A.lunar.simulant"
"2","Apollo.12.regolith","Apollo.17.regolith","JSC.1A.lunar.simulant","Apollo.17.regolith","JSC.1A.lunar.simulant","JSC.1A.lunar.simulant","Apollo.11.regolith","Apollo.11.regolith","Apollo.11.regolith","Apollo.12.regolith","Apollo.12.regolith","Apollo.17.regolith"
