"","condition"
"GSM5691011","JSC.1A.lunar.simulant"
"GSM5691012","Apollo.11.regolith"
"GSM5691013","Apollo.12.regolith"
"GSM5691014","Apollo.17.regolith"
"GSM5691015","JSC.1A.lunar.simulant"
"GSM5691016","Apollo.11.regolith"
"GSM5691017","Apollo.12.regolith"
"GSM5691018","Apollo.17.regolith"
"GSM5691019","JSC.1A.lunar.simulant"
"GSM5691020","Apollo.11.regolith"
"GSM5691021","Apollo.12.regolith"
"GSM5691022","Apollo.17.regolith"
"GSM5691023","JSC.1A.lunar.simulant"
"GSM5691024","Apollo.11.regolith"
"GSM5691025","Apollo.12.regolith"
"GSM5691026","Apollo.17.regolith"
"GSM5691027","JSC.1A.lunar.simulant"
"GSM5691028","JSC.1A.lunar.simulant"
"GSM5691029","JSC.1A.lunar.simulant"
"GSM5691030","JSC.1A.lunar.simulant"
