substrate,time_s,water_content_pct,ec_us_cm,ph,nitrogen,phosphorus,potassium,water_added_ml,protocol,table,oxide,lhs1_wt_pct,ce5_wt_pct,difference_wt_pct
Martian Regolith Simulant,417.28,23.39,31.0,5.0,9.0,0.0,6.0,10.0,10ml H20 in 15ml substrate,probe_endpoint,,,,
Perlite (Small particle),428.08,22.01,10.0,5.1,0.0,0.0,0.0,10.0,10ml H20 in 15ml substrate,probe_endpoint,,,,
Arcelite,853.52,19.18,148.0,4.6,82.0,14.0,57.0,10.0,10ml H20 in 15ml substrate,probe_endpoint,,,,
Vermiculite (old powder),225.31,40.62,112.0,6.5,69.0,4.0,48.0,10.0,10ml H20 in 15ml substrate,probe_endpoint,,,,
Potting soil,689.44,13.48,64.0,6.4,43.0,0.0,30.0,10.0,10ml H20 in 15ml substrate,probe_endpoint,,,,
Lunar simulant,257.19,35.53,25.0,5.2,0.0,0.0,0.0,10.0,10ml H20 in 15ml substrate,probe_endpoint,,,,
Stirred Lunar simulant,801.54,24.36,39.0,5.9,20.0,0.0,13.0,10.0,10ml H20 in 15ml substrate,probe_endpoint,,,,
Potassium polyacrylate,673.44,100.0,2320.0,4.0,209.0,112.0,146.0,10.0,10ml H20 in 15ml substrate,probe_endpoint,,,,
,,,,,,,,,,oxide_comparison,Al2O3,26.6,10.8,15.8
,,,,,,,,,,oxide_comparison,CaO,12.8,11.0,1.8000000000000007
,,,,,,,,,,oxide_comparison,FeO,2.7,22.5,-19.8
,,,,,,,,,,oxide_comparison,K2O,0.5,0.19,0.31
,,,,,,,,,,oxide_comparison,MgO,1.6,6.48,-4.880000000000001
,,,,,,,,,,oxide_comparison,MnO,0.1,0.28,-0.18
,,,,,,,,,,oxide_comparison,Na2O,2.9,0.26,2.6399999999999997
,,,,,,,,,,oxide_comparison,P2O5,0.1,0.23,-0.13
,,,,,,,,,,oxide_comparison,SiO2,51.2,42.2,9.0
,,,,,,,,,,oxide_comparison,TiO2,0.6,5.0,-4.4
