gene,covariate,primary,within_lunar,SYMBOL,GENENAME
AT1G02010,leaf_rate_per_day,-0.8088235294117647,-0.8321678321678322,SEC1A,member of KEULE Gene Family
AT1G04180,leaf_final,0.8166530858541073,0.9067557103858994,YUC9|YUCCA9,
AT1G06440,leaf_rate_per_day,-0.8705882352941177,-0.8951048951048951,,
AT1G07180,leaf_rate_per_day,0.8235294117647058,0.8321678321678322,ATNDI1|NDA1,Internal NAD(P)H dehydrogenase in mitochondria. The predicted protein sequence has high homology with other designated NAD(P)H DHs from microorganisms; the capacity for matrix NAD(P)H oxidation via the rotenone-insensitive pathway is significantly reduced in the Atndi1 mutant plant line; the in vitro translation product of AtNDI1 is imported into isolated mitochondria and located on the inside of the inner membrane.
AT1G08213,leaf_rate_per_day,-0.9029411764705882,-0.8391608391608392,,
AT1G08310,leaf_rate_per_day,-0.7176470588235294,-0.9090909090909092,,
AT1G08650,leaf_rate_per_day,-0.7264705882352941,-0.8391608391608392,ATPPCK1|PPCK1,Encodes a phosphoenolpyruvate carboxylase kinase that is expressed at highest levels in leaves. Expression is induced by light.
AT1G09480,leaf_rate_per_day,-0.8558823529411764,-0.8461538461538461,,"similar to Eucalyptus gunnii alcohol dehydrogenase of unknown physiological function (GI:1143445), Vigna unguiculata (gi:1854445), NOT a cinnamyl-alcohol dehydrogenase"
AT1G10090,leaf_rate_per_day,0.6882352941176471,0.8601398601398601,,
AT1G12480,leaf_rate_per_day,0.7852941176470588,0.8321678321678322,CDI3|OZS1|RCD3|SLAC1,"Encodes a membrane protein with 10 predicted transmembrane helices. SLAC1 is a multispanning  membrane protein  expressed predominantly in guard cells that plays a role in regulating cellular ion homeostasis and S-type anion currents. SLAC1 is important for normal stomatal closure in response to a variety of signals including elevated CO2, ozone, ABA, darkness, and humidity. SLAC1:GFP localizes to the plasma membrane."
AT1G12672,leaf_auc,0.8217967599410898,0.9298245614035088,,
AT1G12672,leaf_final,0.8073437998247492,0.9276365189696922,,
AT1G12990,leaf_rate_per_day,0.7411764705882353,0.8811188811188811,,
AT1G13410,leaf_rate_per_day,-0.7352941176470589,-0.8601398601398601,,
AT1G13430,leaf_final,0.8447576652078628,0.8766998008639251,ATST4C|ST4C,"Encodes a sulfotransferase. Unlike the related ST4A protein (At2g14920), in vitro experiements show that this enzyme does not act brassinosteroids. ST4C is expressed in the roots and transcript levels rise in response to cytokinin treatment."
AT1G14040,leaf_rate_per_day,-0.7529411764705882,-0.8321678321678322,PHO1;H3,
AT1G14130,leaf_final,-0.9312113692063868,-0.8894120382659515,AtDAO|DAO1,
AT1G15110,leaf_rate_per_day,-0.8735294117647059,-0.8671328671328671,AtPSS1|PSS1,
AT1G17090,leaf_final,-0.857734143616833,-0.8967323019553832,,
AT1G17090,leaf_rate_per_day,-0.888235294117647,-0.944055944055944,,
AT1G17100,leaf_rate_per_day,-0.9323529411764706,-0.93006993006993,AtHBP1|cHBP1|HBP1|SOUL1,
AT1G17170,leaf_rate_per_day,-0.888235294117647,-0.8811188811188811,ATGSTU24|GST|GSTU24,Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002).
AT1G17720,leaf_rate_per_day,-0.8,-0.8881118881118881,ATB,type 2A protein serine/threonine phosphatase 55 kDa B
AT1G18680,leaf_rate_per_day,-0.9,-0.902097902097902,M20,
AT1G19600,leaf_rate_per_day,-0.8941176470588236,-0.8321678321678322,,
AT1G21590,leaf_rate_per_day,0.8558823529411764,0.916083916083916,,
AT1G24267,leaf_rate_per_day,-0.7323529411764705,-0.8321678321678322,,
AT1G24470,leaf_rate_per_day,0.8382352941176471,0.8671328671328671,ATKCR2|KCR2,"Encodes one of the two Arabidopsis homologues to YBR159w encoding a S. cerevisiae beta-ketoacyl reductase (KCR), which catalyzes the first reduction during VLCFA (very long chain fatty acids, >18 carbon) elongation: KCR1 (At1g67730), KCR2 (At1g24470). Complementation of the yeast ybr159Delta mutant demonstrated that the two KCR proteins are divergent and that only AtKCR1 can restore heterologous elongase activity similar to the native yeast KCR gene."
AT1G24530,leaf_final,-0.7677620306500323,-0.8747715108870882,,
AT1G24530,leaf_rate_per_day,-0.8205882352941176,-0.93006993006993,,
AT1G25480,leaf_rate_per_day,0.9264705882352942,0.8531468531468531,ALMT4,
AT1G26730,leaf_rate_per_day,-0.7529411764705882,-0.8601398601398601,,
AT1G27130,leaf_rate_per_day,0.8235294117647058,0.8461538461538461,ATGSTU13|GST12|GSTU13,Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002).
AT1G28090,leaf_final,-0.7602643545694656,-0.9113728293342468,,
AT1G28090,leaf_rate_per_day,-0.8176470588235294,-0.9370629370629372,,
AT1G28130,leaf_rate_per_day,-0.8970588235294118,-0.8391608391608392,GH3.17|VAS2,encodes an IAA-amido synthase that conjugates Asp and other amino acids to auxin in vitro. Lines carrying insertions in this gene are hypersensitive to auxin.
AT1G28580,leaf_rate_per_day,-0.8794117647058823,-0.8671328671328671,AXE1|GELP7,
AT1G30490,leaf_final,-0.8937229888035533,-0.9296734885578258,ATHB9|PHV,"Dominant PHV mutations cause transformation of abaxial leaf fates into adaxial leaf fates. Has overlapping functions with PHABULOSA, REVOLUTA and CORONA/ATHB15 in patterning the apical portion of the embryo. Encodes a member of HD-Zip family which contains homeodomain-leucine zipper domains and domain similar to a mammalian sterol binding domain."
AT1G30490,leaf_rate_per_day,-0.8647058823529412,-0.8951048951048951,ATHB9|PHV,"Dominant PHV mutations cause transformation of abaxial leaf fates into adaxial leaf fates. Has overlapping functions with PHABULOSA, REVOLUTA and CORONA/ATHB15 in patterning the apical portion of the embryo. Encodes a member of HD-Zip family which contains homeodomain-leucine zipper domains and domain similar to a mammalian sterol binding domain."
AT1G31020,leaf_final,-0.9222141579097068,-0.8894120382659515,ATO2|TO2,
AT1G31020,leaf_rate_per_day,-0.9088235294117648,-0.8671328671328671,ATO2|TO2,
AT1G31790,leaf_rate_per_day,-0.8647058823529412,-0.8951048951048951,,
AT1G31910,leaf_rate_per_day,-0.9058823529411764,-0.8601398601398601,,
AT1G32310,leaf_rate_per_day,-0.7294117647058823,-0.8461538461538461,SAMBA,
AT1G33102,leaf_rate_per_day,-0.8117647058823529,-0.8321678321678322,,
AT1G33790,leaf_rate_per_day,-0.7294117647058823,-0.8321678321678322,,
AT1G34340,leaf_rate_per_day,0.8382352941176471,0.902097902097902,,
AT1G35460,leaf_final,-0.8037508758367526,-0.8747715108870882,CFLAP2|FBH1,
AT1G35460,leaf_rate_per_day,-0.8294117647058824,-0.9090909090909092,CFLAP2|FBH1,
AT1G45170,leaf_rate_per_day,-0.6970588235294117,-0.8531468531468531,,
AT1G48600,leaf_rate_per_day,0.8588235294117647,0.8391608391608392,AtPMEAMT|AtPMT2|PMEAMT,Encodes a phosphoethanolamine N-methyltransferase that catalyses the last two methylation steps of the three sequential methylations of phosphoethanolamine (PEA) that are required for the synthesis of phosphocholine (PCho) in plants.
AT1G49470,leaf_rate_per_day,0.7205882352941176,0.8321678321678322,,
AT1G51420,leaf_rate_per_day,-0.7970588235294118,-0.8391608391608392,ATSPP1|SPP1,
