gene,analysis,covariate,n_samples,mean_vst,spearman_rho,p_value,fdr,SYMBOL,GENENAME
AT2G35340,primary,leaf_auc,16,8.825426348860155,0.9212658859087324,4.076331797440753e-07,0.0005642842128774,MEE29,
AT1G14130,primary,leaf_auc,16,9.021198722312592,-0.9197942151644692,4.6220623512145707e-07,0.0005724789121638,AtDAO|DAO1,
AT5G21482,primary,leaf_auc,16,10.074946769347008,0.9197942151644692,4.6220623512145707e-07,0.0005724789121638,ATCKX5|CKX7,"This gene used to be called AtCKX5. It encodes a protein whose sequence is similar to cytokinin oxidase/dehydrogenase, which catalyzes the degradation of cytokinins."
AT1G17100,primary,leaf_auc,16,12.38452302460388,-0.918322544420206,5.22850271987107e-07,0.0005859159738415,AtHBP1|cHBP1|HBP1|SOUL1,
AT1G52347,primary,leaf_auc,16,8.747935362883535,-0.918322544420206,5.22850271987107e-07,0.0005859159738415,,
AT1G28130,primary,leaf_auc,16,9.855743172352694,-0.9168508736759428,5.90106915566279e-07,0.0006014984077374,GH3.17|VAS2,encodes an IAA-amido synthase that conjugates Asp and other amino acids to auxin in vitro. Lines carrying insertions in this gene are hypersensitive to auxin.
AT1G75030,primary,leaf_auc,16,6.82682157948612,0.9153792029316796,6.645543960045455e-07,0.0006014984077374,ATLP-3|TLP-3,encodes a PR5-like protein
AT3G16420,primary,leaf_auc,16,13.118360375924738,-0.9153792029316796,6.645543960045455e-07,0.0006014984077374,JAL30|PBP1|PBPI,"The PBP1(PYK10-binding protein 1) assists the PYK10 (beta-glucosidase complex) in its activity and may act like a molecular  chaperone that facilitates the correct polymerization of PYK10, when tissues are damaged and subcellular structures are destroyed by pests."
AT5G35480,primary,leaf_auc,16,8.999962622802435,0.9153792029316796,6.645543960045455e-07,0.0006014984077374,,
AT5G59670,primary,leaf_auc,16,9.066835555189089,0.9153792029316796,6.645543960045455e-07,0.0006014984077374,,
AT1G52100,primary,leaf_auc,16,7.818760548367285,-0.9139075321874166,7.468092298951329e-07,0.0006159232821235,,
AT2G23010,primary,leaf_auc,16,10.6643080549361,-0.9139075321874166,7.468092298951329e-07,0.0006159232821235,SCPL9,
AT1G12080,primary,leaf_auc,16,7.0408469123732065,0.9124358614431534,8.375279406770326e-07,0.0006159232821235,,
AT2G35760,primary,leaf_auc,16,8.267414641245432,0.9124358614431534,8.375279406770326e-07,0.0006159232821235,CASPL2B2,
AT2G36080,primary,leaf_auc,16,8.599818806001466,-0.9124358614431534,8.375279406770326e-07,0.0006159232821235,ABS2|NGAL1,Encodes a plant-specific B3 DNA-binding domain transcription factor.  Has transcription repressor activity.
AT4G21620,primary,leaf_auc,16,11.87971938178533,-0.9124358614431534,8.375279406770326e-07,0.0006159232821235,,
AT4G02420,primary,leaf_auc,16,10.702728315517852,0.9109641906988902,9.374088176264412e-07,0.0006684861122788,LecRK-IV.4,
AT3G62960,primary,leaf_auc,16,6.652703229565975,0.9094925199546272,1.0471937131428628e-06,0.0007248120485703,ROXY8,
AT3G46370,primary,leaf_auc,16,8.319095567432147,0.908020849210364,1.167669878009654e-06,0.0007632993122,,
AT5G24690,primary,leaf_auc,16,12.939992967297728,-0.908020849210364,1.167669878009654e-06,0.0007632993122,,
AT3G08040,primary,leaf_auc,16,8.17076972864477,-0.9065491784661008,1.299671834288354e-06,0.0008266264128731,ATFRD3|FRD3|MAN1,"Encodes a member of the MATE (multidrug and toxin efflux family), expressed in roots but not shoots. Mutants accumulate excess iron, manganese and zinc, and express root Fe(III) chelatase activity even under iron sufficiency conditions. FRD3 is likely to function in root xylem loading of an iron chelator or other factor necessary for efficient iron uptake out of the xylem or apoplastic space and into leaf cells."
AT1G73325,primary,leaf_auc,16,11.471448470528376,-0.9050775077218376,1.4440832854860223e-06,0.0008713746655728,,
AT3G57030,primary,leaf_auc,16,10.231786610069568,0.9050775077218376,1.4440832854860223e-06,0.0008713746655728,,
AT1G02890,primary,leaf_auc,16,11.840349680013686,0.9036058369775744,1.6018390636151803e-06,0.0008975256829537,,
AT2G18280,primary,leaf_auc,16,12.146221188016614,-0.9036058369775744,1.6018390636151803e-06,0.0008975256829537,AtTLP2|TLP2,Member of TLP family
AT3G16740,primary,leaf_auc,16,9.533143215306756,-0.9036058369775744,1.6018390636151803e-06,0.0008975256829537,FOA2,
AT3G23480,primary,leaf_auc,16,8.634535380122102,0.9021341662333112,1.7739271127466917e-06,0.0009708331800992,,
AT4G14570,primary,leaf_auc,16,10.856883074260562,0.9006624954890482,1.9613905086375052e-06,0.0010490318827219,AARE|AtAARE,
AT5G22550,primary,leaf_auc,16,6.426241374433742,-0.8991908247447851,2.1653295139968164e-06,0.001132371098953,,
AT1G08213,primary,leaf_auc,16,6.3975273110081865,-0.8977191540005219,2.386903668936731e-06,0.001170229250856,,
AT1G14820,primary,leaf_auc,16,10.032587076155364,-0.8977191540005219,2.386903668936731e-06,0.001170229250856,,
AT1G31020,primary,leaf_auc,16,8.703544203745354,-0.8977191540005219,2.386903668936731e-06,0.001170229250856,ATO2|TO2,
AT2G34655,primary,leaf_auc,16,8.454596440491354,0.8962474832562588,2.6273339161361085e-06,0.0012123342950672,,
AT3G25760,primary,leaf_auc,16,14.397650778170677,-0.8962474832562588,2.6273339161361085e-06,0.0012123342950672,AOC1|ERD12,"encodes allene oxide cyclase.  One of four genes in Arabidopsis that encode this enzyme, which catalyzes an essential step in jasmonic acid biosynthesis. Gene expression is induced during senescence, a process that involves jasmonic acid signalling pathway."
AT5G08200,primary,leaf_auc,16,9.586968138637603,-0.8962474832562588,2.6273339161361085e-06,0.0012123342950672,,
AT3G20370,primary,leaf_auc,16,8.655986326183367,-0.8947758125119956,2.887904760229746e-06,0.0012585381985645,,
AT3G27420,primary,leaf_auc,16,8.894131133047898,-0.8947758125119956,2.887904760229746e-06,0.0012585381985645,,
AT5G33320,primary,leaf_auc,16,11.571597360270836,0.8947758125119956,2.887904760229746e-06,0.0012585381985645,ARAPPT|CUE1|NOX1|PPT,Encodes a plastid inner envelope protein PPT (phosphoenolpyruvate/phosphate translocator) that catalyzes the transport of phosphoenolpyruvate and phosphate across the inner envelope membrane of plastids.
AT1G49920,primary,leaf_auc,16,6.0919669079178815,0.8944671369436956,2.9452383473808333e-06,0.001260187164162,,
AT1G02850,primary,leaf_auc,16,12.440794377721714,-0.8933041417677324,3.169966460918526e-06,0.0013087512407858,BGLU11,
AT5G59450,primary,leaf_auc,16,9.645043404369757,0.8933041417677324,3.169966460918526e-06,0.0013087512407858,,
AT1G25480,primary,leaf_auc,16,8.583500938256101,0.8918324710234693,3.474937259280861e-06,0.0014099258365975,ALMT4,
AT3G14060,primary,leaf_auc,16,7.83343830660727,-0.8903608002792062,3.8043056367496503e-06,0.001467651222125,,
AT4G17340,primary,leaf_auc,16,10.698077747491777,0.8903608002792062,3.8043056367496503e-06,0.001467651222125,DELTA-TIP2|TIP2;2,
AT4G34480,primary,leaf_auc,16,11.79225753244932,0.8903608002792062,3.8043056367496503e-06,0.001467651222125,,
AT4G35480,primary,leaf_auc,16,7.991217651337426,0.888889129534943,4.159632606204715e-06,0.0015788489374486,ATL45|RHA3B,Encodes a putative RING-H2 finger protein RHA3b.
AT2G14290,primary,leaf_auc,16,7.618048037183642,-0.8874174587906798,4.5425540346160245e-06,0.0016196958196457,AtFDB13,
AT3G07610,primary,leaf_auc,16,10.214898764897749,0.8874174587906798,4.5425540346160245e-06,0.0016196958196457,IBM1,"IBM1 likely encodes a protein with histone H3mK9 demethylation activity. It may preferentially demethylate H3mK9 at low-copy loci to protect them from silencing by nearby heterochromatin by preventing the spread of cytosine methylation. BONSAI (At1g73177) is hypermethylated in ibm1 mutants. ibm1 mutants have morphological defects that become apparent at the F3 generation, including small narrow leaves, arrested flower development, and faulty pollen development. These phenotypes cannot result solely from the BONSAI hypermethylation. Aberrant phenotypes in ibm1 mutants in both DNA methylation and plant development can be suppressed by mutations in the KYP H3K9 methyltransferase or he CMT3 non CG-cytosine methylase."
