gene_set,analysis,covariate,direction,go_id,go_name,go_aspect,genes_in_set,genes_in_term,overlap,fold_enrichment,p_value,example_genes,fdr
primary|leaf_auc|down,primary,leaf_auc,down,GO:0050794,regulation of cellular process,biological_process,470,1371,86,1.4067073265359964,0.0005276088529443,AT1G03040;AT1G06390;AT1G07350;AT1G17380;AT1G18750;AT1G19180;AT1G23380;AT1G26665,0.2814099930149371
primary|leaf_auc|down,primary,leaf_auc,down,GO:0016592,mediator complex,cellular_component,470,25,6,5.3821276595744685,0.0006533374543554,AT1G26665;AT2G28230;AT5G03500;AT5G12230;AT5G19480;AT5G48640,0.2814099930149371
primary|leaf_auc|down,primary,leaf_auc,down,GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",molecular_function,470,69,10,3.2500770891150172,0.0009016346307455,AT1G44350;AT3G02875;AT3G44300;AT3G44310;AT3G44320;AT3G55970;AT3G58130;AT4G08870,0.2814099930149371
primary|leaf_auc|down,primary,leaf_auc,down,GO:0006497,protein lipidation,biological_process,470,51,8,3.5177304964539005,0.0017296784853083,AT1G54210;AT3G07140;AT3G09320;AT3G21530;AT3G51390;AT3G56930;AT4G15080;AT5G14850,0.2814099930149371
primary|leaf_auc|down,primary,leaf_auc,down,GO:0042158,lipoprotein biosynthetic process,biological_process,470,51,8,3.5177304964539005,0.0017296784853083,AT1G54210;AT3G07140;AT3G09320;AT3G21530;AT3G51390;AT3G56930;AT4G15080;AT5G14850,0.2814099930149371
primary|leaf_auc|down,primary,leaf_auc,down,GO:0003713,transcription coactivator activity,molecular_function,470,30,6,4.485106382978723,0.0018130113077881,AT2G14045;AT2G28230;AT3G07740;AT4G16420;AT4G33890;AT5G42060,0.2814099930149371
primary|leaf_auc|down,primary,leaf_auc,down,GO:0033108,mitochondrial respiratory chain complex assembly,biological_process,470,21,5,5.339412360688957,0.0019393515224153,AT1G10865;AT3G62790;AT5G51040;AT5G57080;AT5G67490,0.2814099930149371
primary|leaf_auc|down,primary,leaf_auc,down,GO:0042157,lipoprotein metabolic process,biological_process,470,52,8,3.4500818330605565,0.0019661833573096,AT1G54210;AT3G07140;AT3G09320;AT3G21530;AT3G51390;AT3G56930;AT4G15080;AT5G14850,0.2814099930149371
primary|leaf_auc|down,primary,leaf_auc,down,GO:0007154,cell communication,biological_process,470,444,33,1.6667625071880394,0.0027030694454583,AT1G06390;AT1G26730;AT1G29230;AT1G30270;AT1G49160;AT1G50670;AT1G69480;AT2G03260,0.284561107925181
primary|leaf_auc|down,primary,leaf_auc,down,GO:0009636,response to toxic substance,biological_process,470,14,4,6.407294832826748,0.0027337748359624,AT3G44300;AT3G44310;AT3G44320;AT5G24760,0.284561107925181
