gene_set,analysis,covariate,direction,go_id,go_name,go_aspect,genes_in_set,genes_in_term,overlap,fold_enrichment,p_value,example_genes,fdr
primary|leaf_auc|down,primary,leaf_auc,down,GO:0098754,detoxification,biological_process,470,14,4,6.407294832826748,0.0027337748359624,AT3G44300;AT3G44310;AT3G44320;AT5G24760,0.284561107925181
primary|leaf_auc|down,primary,leaf_auc,down,GO:0050789,regulation of biological process,biological_process,470,1553,90,1.2996122809661466,0.0044294736464251,AT1G03040;AT1G06390;AT1G07350;AT1G17380;AT1G18750;AT1G19180;AT1G23380;AT1G26665,0.4078276553213638
primary|leaf_auc|down,primary,leaf_auc,down,GO:0031347,regulation of defense response,biological_process,470,16,4,5.6063829787234045,0.0046303576586705,AT1G17380;AT1G19180;AT3G57130;AT4G14720,0.4078276553213638
primary|leaf_auc|down,primary,leaf_auc,down,GO:0043543,protein acylation,biological_process,470,51,7,3.0780141843971633,0.0070875609959375,AT3G02980;AT3G09320;AT3G49830;AT3G51390;AT3G56930;AT4G15080;AT4G31720,0.5451351317171544
primary|leaf_auc|down,primary,leaf_auc,down,GO:0051213,dioxygenase activity,molecular_function,470,91,10,2.4643441664718257,0.0071415082757705,AT1G14130;AT1G47990;AT1G52810;AT1G73680;AT2G43080;AT3G21420;AT3G55970;AT4G14716,0.5451351317171544
primary|leaf_auc|down,primary,leaf_auc,down,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",molecular_function,470,168,15,2.0022796352583585,0.008069355551486,AT1G07420;AT1G14130;AT1G47990;AT1G50520;AT1G52810;AT2G31360;AT2G43080;AT3G02620,0.5554608260238588
primary|leaf_auc|down,primary,leaf_auc,down,GO:0006576,biogenic amine metabolic process,biological_process,470,30,5,3.7375886524822697,0.0097665945432584,AT3G02470;AT4G08870;AT4G35220;AT5G05590;AT5G38530,0.5554608260238588
primary|leaf_auc|down,primary,leaf_auc,down,GO:0002376,immune system process,biological_process,470,20,4,4.485106382978723,0.0107046230585299,AT1G14780;AT1G61490;AT1G67520;AT3G57130,0.5554608260238588
primary|leaf_auc|down,primary,leaf_auc,down,GO:0006955,immune response,biological_process,470,20,4,4.485106382978723,0.0107046230585299,AT1G14780;AT1G61490;AT1G67520;AT3G57130,0.5554608260238588
primary|leaf_auc|down,primary,leaf_auc,down,GO:0008171,O-methyltransferase activity,molecular_function,470,20,4,4.485106382978723,0.0107046230585299,AT1G33030;AT1G62900;AT1G76790;AT5G23330,0.5554608260238588
primary|leaf_auc|down,primary,leaf_auc,down,GO:0045087,innate immune response,biological_process,470,20,4,4.485106382978723,0.0107046230585299,AT1G14780;AT1G61490;AT1G67520;AT3G57130,0.5554608260238588
primary|leaf_auc|down,primary,leaf_auc,down,GO:0065007,biological regulation,biological_process,470,1729,96,1.245142315691028,0.0109356144457815,AT1G01020;AT1G03040;AT1G06390;AT1G07350;AT1G17380;AT1G18750;AT1G19180;AT1G23380,0.5554608260238588
primary|leaf_auc|down,primary,leaf_auc,down,GO:0016706,2-oxoglutarate-dependent dioxygenase activity,molecular_function,470,69,8,2.6000616712920137,0.011321153188636,AT1G14130;AT1G47990;AT1G52810;AT2G43080;AT3G21420;AT3G55970;AT4G16330;AT5G05600,0.5554608260238588
primary|leaf_auc|down,primary,leaf_auc,down,GO:0007165,signal transduction,biological_process,470,417,29,1.5595693657839684,0.0116428470083603,AT1G06390;AT1G29230;AT1G30270;AT1G49160;AT1G50670;AT2G17440;AT2G19470;AT2G26300,0.5554608260238588
primary|leaf_auc|down,primary,leaf_auc,down,GO:0023052,signaling,biological_process,470,419,29,1.5521251206012288,0.0123749215518694,AT1G06390;AT1G29230;AT1G30270;AT1G49160;AT1G50670;AT2G17440;AT2G19470;AT2G26300,0.562240795180297
primary|leaf_auc|down,primary,leaf_auc,down,GO:0018345,protein palmitoylation,biological_process,470,21,4,4.271529888551165,0.0127670398905569,AT3G09320;AT3G51390;AT3G56930;AT4G15080,0.562240795180297
primary|leaf_auc|down,primary,leaf_auc,down,GO:0016409,palmitoyltransferase activity,molecular_function,470,22,4,4.077369439071567,0.015066598386082,AT3G09320;AT3G51390;AT3G56930;AT4G15080,0.6389353760023687
primary|leaf_auc|down,primary,leaf_auc,down,GO:0004596,protein-N-terminal amino-acid acetyltransferase activity,molecular_function,470,5,2,8.970212765957447,0.018139386143558,AT1G18335;AT3G02980,0.6853240389529713
primary|leaf_auc|down,primary,leaf_auc,down,GO:0005459,UDP-galactose transmembrane transporter activity,molecular_function,470,5,2,8.970212765957447,0.018139386143558,AT4G09810;AT5G42420,0.6853240389529713
primary|leaf_auc|down,primary,leaf_auc,down,GO:0009991,obsolete response to extracellular stimulus,biological_process,470,35,5,3.2036474164133737,0.0185546246354079,AT1G26730;AT1G55510;AT1G69480;AT2G03260;AT4G16520,0.6853240389529713
primary|leaf_auc|down,primary,leaf_auc,down,GO:0031667,response to nutrient levels,biological_process,470,35,5,3.2036474164133737,0.0185546246354079,AT1G26730;AT1G55510;AT1G69480;AT2G03260;AT4G16520,0.6853240389529713
primary|leaf_auc|down,primary,leaf_auc,down,GO:0003712,transcription coregulator activity,molecular_function,470,91,9,2.2179097498246434,0.0198801844898684,AT1G26665;AT2G02470;AT2G14045;AT2G28230;AT3G07740;AT4G16420;AT4G33890;AT5G05610,0.7113378512781054
primary|leaf_auc|down,primary,leaf_auc,down,GO:0006357,regulation of transcription by RNA polymerase II,biological_process,470,347,24,1.5510454350358698,0.0218214880089498,AT1G03040;AT1G18750;AT1G23380;AT1G26665;AT1G27630;AT1G35460;AT1G54610;AT2G24260,0.7158424538926464
primary|leaf_auc|down,primary,leaf_auc,down,GO:0006355,regulation of DNA-templated transcription,biological_process,470,628,39,1.3926683832497626,0.0218816470622206,AT1G03040;AT1G18750;AT1G23380;AT1G26665;AT1G27630;AT1G35460;AT1G54610;AT1G75240,0.7158424538926464
primary|leaf_auc|down,primary,leaf_auc,down,GO:2001141,regulation of RNA biosynthetic process,biological_process,470,628,39,1.3926683832497626,0.0218816470622206,AT1G03040;AT1G18750;AT1G23380;AT1G26665;AT1G27630;AT1G35460;AT1G54610;AT1G75240,0.7158424538926464
primary|leaf_auc|down,primary,leaf_auc,down,GO:0006612,protein targeting to membrane,biological_process,470,51,6,2.6382978723404253,0.0250965126415782,AT1G48635;AT3G09320;AT3G48570;AT3G51390;AT3G56930;AT4G15080,0.7243010074865648
primary|leaf_auc|down,primary,leaf_auc,down,GO:0009966,regulation of signal transduction,biological_process,470,38,5,2.950727883538634,0.0257429877068596,AT1G17380;AT1G19180;AT3G05120;AT3G55970;AT4G14720,0.7243010074865648
primary|leaf_auc|down,primary,leaf_auc,down,GO:0018410,C-terminal protein amino acid modification,biological_process,470,6,2,7.475177304964539,0.0264126009457903,AT1G54210;AT5G23330,0.7243010074865648
primary|leaf_auc|down,primary,leaf_auc,down,GO:0022603,regulation of anatomical structure morphogenesis,biological_process,470,26,4,3.4500818330605565,0.0267799118170245,AT1G75840;AT5G08070;AT5G60970;AT5G62880,0.7243010074865648
primary|leaf_auc|down,primary,leaf_auc,down,GO:0009611,response to wounding,biological_process,470,15,3,4.485106382978723,0.0268656531992876,AT1G17380;AT1G19180;AT4G14720,0.7243010074865648
primary|leaf_auc|down,primary,leaf_auc,down,GO:0048583,regulation of response to stimulus,biological_process,470,52,6,2.587561374795418,0.0273415943244288,AT1G17380;AT1G19180;AT3G05120;AT3G55970;AT3G57130;AT4G14720,0.7243010074865648
primary|leaf_auc|down,primary,leaf_auc,down,GO:0010646,regulation of cell communication,biological_process,470,39,5,2.87506819421713,0.028484122730961,AT1G17380;AT1G19180;AT3G05120;AT3G55970;AT4G14720,0.7243010074865648
primary|leaf_auc|down,primary,leaf_auc,down,GO:0023051,regulation of signaling,biological_process,470,39,5,2.87506819421713,0.028484122730961,AT1G17380;AT1G19180;AT3G05120;AT3G55970;AT4G14720,0.7243010074865648
primary|leaf_auc|down,primary,leaf_auc,down,GO:0050896,response to stimulus,biological_process,470,1161,65,1.255520735975956,0.0303171474531309,AT1G06390;AT1G14780;AT1G17380;AT1G19180;AT1G19610;AT1G26730;AT1G29230;AT1G30270,0.7243010074865648
primary|leaf_auc|down,primary,leaf_auc,down,GO:0009267,cellular response to starvation,biological_process,470,27,4,3.3223010244286844,0.0303637103575153,AT1G26730;AT1G69480;AT2G03260;AT4G16520,0.7243010074865648
primary|leaf_auc|down,primary,leaf_auc,down,GO:0031668,obsolete cellular response to extracellular stimulus,biological_process,470,27,4,3.3223010244286844,0.0303637103575153,AT1G26730;AT1G69480;AT2G03260;AT4G16520,0.7243010074865648
primary|leaf_auc|down,primary,leaf_auc,down,GO:0031669,cellular response to nutrient levels,biological_process,470,27,4,3.3223010244286844,0.0303637103575153,AT1G26730;AT1G69480;AT2G03260;AT4G16520,0.7243010074865648
primary|leaf_auc|down,primary,leaf_auc,down,GO:0071496,cellular response to external stimulus,biological_process,470,27,4,3.3223010244286844,0.0303637103575153,AT1G26730;AT1G69480;AT2G03260;AT4G16520,0.7243010074865648
primary|leaf_auc|down,primary,leaf_auc,down,GO:0016628,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor",molecular_function,470,16,3,4.204787234042553,0.0319968752471223,AT3G12800;AT3G45770;AT5G16980,0.7473599893321738
primary|leaf_auc|down,primary,leaf_auc,down,GO:0051252,regulation of RNA metabolic process,biological_process,470,706,42,1.334096799469592,0.0331695753770115,AT1G03040;AT1G07350;AT1G18750;AT1G23380;AT1G26665;AT1G27630;AT1G35460;AT1G54610,0.7473599893321738
primary|leaf_auc|down,primary,leaf_auc,down,GO:0015103,obsolete inorganic anion transmembrane transporter activity,molecular_function,470,28,4,3.203647416413374,0.0342167710374688,AT1G26730;AT1G69480;AT2G03260;AT3G27170,0.7473599893321738
primary|leaf_auc|down,primary,leaf_auc,down,GO:0080134,regulation of response to stress,biological_process,470,28,4,3.203647416413374,0.0342167710374688,AT1G17380;AT1G19180;AT3G57130;AT4G14720,0.7473599893321738
primary|leaf_auc|down,primary,leaf_auc,down,GO:0140096,"catalytic activity, acting on a protein",molecular_function,470,1294,71,1.230458088066033,0.0355265606130145,AT1G06390;AT1G07960;AT1G09850;AT1G18335;AT1G18660;AT1G29230;AT1G30270;AT1G47380,0.7473599893321738
primary|leaf_auc|down,primary,leaf_auc,down,GO:0006596,polyamine biosynthetic process,biological_process,470,7,2,6.407294832826748,0.0358993881338598,AT3G02470;AT4G08870,0.7473599893321738
primary|leaf_auc|down,primary,leaf_auc,down,GO:0048584,positive regulation of response to stimulus,biological_process,470,7,2,6.407294832826748,0.0358993881338598,AT3G05120;AT3G57130,0.7473599893321738
primary|leaf_auc|down,primary,leaf_auc,down,GO:0008378,galactosyltransferase activity,molecular_function,470,17,3,3.957446808510638,0.0376009041481456,AT3G14960;AT4G32120;AT5G53340,0.7688042008861933
primary|leaf_auc|down,primary,leaf_auc,down,GO:0016491,oxidoreductase activity,molecular_function,470,753,44,1.310389647085417,0.0383310703383031,AT1G07420;AT1G09480;AT1G09500;AT1G14130;AT1G47990;AT1G50520;AT1G52810;AT1G73680,0.7699837813571415
primary|leaf_auc|down,primary,leaf_auc,down,GO:0036211,protein modification process,biological_process,470,996,56,1.2608732803554643,0.0400621420390753,AT1G29230;AT1G30270;AT1G47380;AT1G49160;AT1G50670;AT1G54210;AT1G54610;AT1G61490,0.7908819419782974
primary|leaf_auc|down,primary,leaf_auc,down,GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",molecular_function,470,30,4,2.990070921985816,0.0427369410273698,AT3G12800;AT3G45770;AT4G16760;AT5G16980,0.8021934012514499
primary|leaf_auc|down,primary,leaf_auc,down,GO:0032879,regulation of localization,biological_process,470,30,4,2.990070921985816,0.0427369410273698,AT3G09900;AT3G47220;AT5G17340;AT5G58700,0.8021934012514499
primary|leaf_auc|down,primary,leaf_auc,down,GO:0042594,response to starvation,biological_process,470,30,4,2.990070921985816,0.0427369410273698,AT1G26730;AT1G69480;AT2G03260;AT4G16520,0.8021934012514499
primary|leaf_auc|down,primary,leaf_auc,down,GO:0006879,intracellular iron ion homeostasis,biological_process,470,18,3,3.737588652482269,0.0436702756751991,AT4G27860;AT4G27870;AT5G24290,0.8064913814210164
primary|leaf_auc|down,primary,leaf_auc,down,GO:0005504,fatty acid binding,molecular_function,470,8,2,5.6063829787234045,0.0464755391407815,AT1G54220;AT4G16760,0.8116595979530589
primary|leaf_auc|down,primary,leaf_auc,down,GO:0017004,cytochrome complex assembly,biological_process,470,8,2,5.6063829787234045,0.0464755391407815,AT1G10865;AT5G57080,0.8116595979530589
primary|leaf_auc|down,primary,leaf_auc,down,GO:0043687,post-translational protein modification,biological_process,470,8,2,5.6063829787234045,0.0464755391407815,AT1G54210;AT5G23330,0.8116595979530589
primary|leaf_auc|down,primary,leaf_auc,down,GO:0015926,glucosidase activity,molecular_function,470,59,6,2.2805625676163,0.0467856187466392,AT1G02850;AT1G52400;AT1G60260;AT3G09260;AT4G27820;AT4G27830,0.8116595979530589
primary|leaf_auc|down,primary,leaf_auc,down,GO:0010556,regulation of macromolecule biosynthetic process,biological_process,470,709,41,1.2968220148245957,0.051001414798528,AT1G03040;AT1G18750;AT1G23380;AT1G26665;AT1G27630;AT1G35460;AT1G54610;AT1G75240,0.8304895330081582
primary|leaf_auc|down,primary,leaf_auc,down,GO:0051716,cellular response to stimulus,biological_process,470,769,44,1.283125363140857,0.0510989999611281,AT1G06390;AT1G14780;AT1G26730;AT1G29230;AT1G30270;AT1G49160;AT1G50670;AT1G69480,0.8304895330081582
primary|leaf_auc|down,primary,leaf_auc,down,GO:0008238,exopeptidase activity,molecular_function,470,61,6,2.2057900244157653,0.0535898804939148,AT2G23010;AT3G10410;AT3G10450;AT4G36190;AT5G22860;AT5G65760,0.8304895330081582
primary|leaf_auc|down,primary,leaf_auc,down,GO:0000139,Golgi membrane,cellular_component,470,47,5,2.3856948845631507,0.0569957362344502,AT2G45200;AT3G02980;AT3G14960;AT4G32120;AT5G53340,0.8304895330081582
primary|leaf_auc|down,primary,leaf_auc,down,GO:0009308,amine metabolic process,biological_process,470,47,5,2.3856948845631507,0.0569957362344502,AT3G02470;AT4G08870;AT4G35220;AT5G05590;AT5G38530,0.8304895330081582
primary|leaf_auc|down,primary,leaf_auc,down,GO:0019005,SCF ubiquitin ligase complex,cellular_component,470,47,5,2.3856948845631507,0.0569957362344502,AT1G21410;AT2G17020;AT3G07550;AT4G02740;AT4G24210,0.8304895330081582
primary|leaf_auc|down,primary,leaf_auc,down,GO:0006505,GPI anchor metabolic process,biological_process,470,20,3,3.3638297872340424,0.0571642056557973,AT3G07140;AT3G21530;AT5G14850,0.8304895330081582
primary|leaf_auc|down,primary,leaf_auc,down,GO:0006506,GPI anchor biosynthetic process,biological_process,470,20,3,3.3638297872340424,0.0571642056557973,AT3G07140;AT3G21530;AT5G14850,0.8304895330081582
primary|leaf_auc|down,primary,leaf_auc,down,GO:0004402,histone acetyltransferase activity,molecular_function,470,9,2,4.983451536643026,0.0580254695551551,AT1G18335;AT3G02980,0.8304895330081582
primary|leaf_auc|down,primary,leaf_auc,down,GO:0004629,C-type glycerophospholipase activity,molecular_function,470,9,2,4.983451536643026,0.0580254695551551,AT3G47220;AT5G58700,0.8304895330081582
primary|leaf_auc|down,primary,leaf_auc,down,GO:0051209,release of sequestered calcium ion into cytosol,biological_process,470,9,2,4.983451536643026,0.0580254695551551,AT3G47220;AT5G58700,0.8304895330081582
primary|leaf_auc|down,primary,leaf_auc,down,GO:0051282,obsolete regulation of sequestering of calcium ion,biological_process,470,9,2,4.983451536643026,0.0580254695551551,AT3G47220;AT5G58700,0.8304895330081582
primary|leaf_auc|down,primary,leaf_auc,down,GO:0051283,obsolete negative regulation of sequestering of calcium ion,biological_process,470,9,2,4.983451536643026,0.0580254695551551,AT3G47220;AT5G58700,0.8304895330081582
primary|leaf_auc|down,primary,leaf_auc,down,GO:0097553,calcium ion transmembrane import into cytosol,biological_process,470,9,2,4.983451536643026,0.0580254695551551,AT3G47220;AT5G58700,0.8304895330081582
primary|leaf_auc|down,primary,leaf_auc,down,GO:0031326,obsolete regulation of cellular biosynthetic process,biological_process,470,719,41,1.2787855473026957,0.0608461813430771,AT1G03040;AT1G18750;AT1G23380;AT1G26665;AT1G27630;AT1G35460;AT1G54610;AT1G75240,0.8316416715603059
primary|leaf_auc|down,primary,leaf_auc,down,GO:0019207,kinase regulator activity,molecular_function,470,63,6,2.135764944275582,0.0609642502098418,AT1G27630;AT2G22490;AT3G50070;AT3G60250;AT4G17640;AT5G48640,0.8316416715603059
primary|leaf_auc|down,primary,leaf_auc,down,GO:0019887,protein kinase regulator activity,molecular_function,470,63,6,2.135764944275582,0.0609642502098418,AT1G27630;AT2G22490;AT3G50070;AT3G60250;AT4G17640;AT5G48640,0.8316416715603059
primary|leaf_auc|down,primary,leaf_auc,down,GO:0006749,glutathione metabolic process,biological_process,470,48,5,2.3359929078014185,0.0614012480277798,AT1G17170;AT1G59670;AT1G59700;AT1G78380;AT3G09270,0.8316416715603059
primary|leaf_auc|down,primary,leaf_auc,down,GO:0019219,regulation of nucleobase-containing compound metabolic process,biological_process,470,740,42,1.2728004600345026,0.0618230329153262,AT1G03040;AT1G07350;AT1G18750;AT1G23380;AT1G26665;AT1G27630;AT1G35460;AT1G54610,0.8316416715603059
primary|leaf_auc|down,primary,leaf_auc,down,GO:0009889,regulation of biosynthetic process,biological_process,470,721,41,1.2752382919703722,0.0629709688633375,AT1G03040;AT1G18750;AT1G23380;AT1G26665;AT1G27630;AT1G35460;AT1G54610;AT1G75240,0.8316416715603059
primary|leaf_auc|down,primary,leaf_auc,down,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",molecular_function,470,130,10,1.725040916530278,0.0649458065814685,AT1G09480;AT1G09500;AT2G21250;AT2G37760;AT2G37770;AT3G06350;AT4G20930;AT5G19440,0.8316416715603059
primary|leaf_auc|down,primary,leaf_auc,down,GO:0043412,macromolecule modification,biological_process,470,1214,65,1.2007080514564128,0.0653479789046216,AT1G22830;AT1G29230;AT1G29710;AT1G30270;AT1G31790;AT1G47380;AT1G49160;AT1G50670,0.8316416715603059
primary|leaf_auc|down,primary,leaf_auc,down,GO:0004364,glutathione transferase activity,molecular_function,470,49,5,2.28831958315241,0.0659942608949043,AT1G17170;AT1G59670;AT1G59700;AT1G78380;AT3G09270,0.8316416715603059
primary|leaf_auc|down,primary,leaf_auc,down,GO:0003824,catalytic activity,molecular_function,470,4324,209,1.0839352845080403,0.0665782647397558,AT1G02310;AT1G02850;AT1G05620;AT1G05680;AT1G06390;AT1G07420;AT1G07960;AT1G09480,0.8316416715603059
primary|leaf_auc|down,primary,leaf_auc,down,GO:0016787,hydrolase activity,molecular_function,470,1257,67,1.1953147480492223,0.066622868236526,AT1G02310;AT1G02850;AT1G05620;AT1G09850;AT1G44350;AT1G47380;AT1G50670;AT1G52400,0.8316416715603059
primary|leaf_auc|down,primary,leaf_auc,down,GO:0016758,hexosyltransferase activity,molecular_function,470,184,13,1.5844125809435707,0.0678517685769074,AT1G05680;AT1G18690;AT2G15490;AT2G32530;AT2G36750;AT2G43820;AT3G14960;AT4G02280,0.8316416715603059
primary|leaf_auc|down,primary,leaf_auc,down,GO:0016790,thiolester hydrolase activity,molecular_function,470,35,4,2.562917933130699,0.0687650736776755,AT3G61200;AT4G17483;AT5G20520;AT5G65940,0.8316416715603059
primary|leaf_auc|down,primary,leaf_auc,down,GO:0015918,sterol transport,biological_process,470,10,2,4.485106382978723,0.0704416995883734,AT1G01020;AT5G23820,0.8316416715603059
primary|leaf_auc|down,primary,leaf_auc,down,GO:0061733,protein-lysine-acetyltransferase activity,molecular_function,470,10,2,4.485106382978723,0.0704416995883734,AT1G18335;AT3G02980,0.8316416715603059
primary|leaf_auc|down,primary,leaf_auc,down,GO:0140029,exocytic process,biological_process,470,10,2,4.485106382978723,0.0704416995883734,AT1G02010;AT3G09900,0.8316416715603059
primary|leaf_auc|down,primary,leaf_auc,down,GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",molecular_function,470,132,10,1.698903932946486,0.0704534865863315,AT1G09480;AT1G09500;AT2G21250;AT2G37760;AT2G37770;AT3G06350;AT4G20930;AT5G19440,0.8316416715603059
primary|leaf_auc|down,primary,leaf_auc,down,GO:0043565,sequence-specific DNA binding,molecular_function,470,490,29,1.3272253582283975,0.0722967710383409,AT1G03040;AT1G18750;AT1G22190;AT1G23380;AT1G35460;AT1G75240;AT1G78080;AT2G02470,0.8446918657030654
primary|leaf_auc|down,primary,leaf_auc,down,GO:0005576,extracellular region,cellular_component,470,116,9,1.73991195891416,0.0741907364387188,AT1G09850;AT2G01270;AT2G34080;AT2G39780;AT4G13195;AT4G16190;AT4G25780;AT5G17340,0.8580645780033644
primary|leaf_auc|down,primary,leaf_auc,down,GO:0140110,transcription regulator activity,molecular_function,470,514,30,1.3088831856941798,0.0786132928955821,AT1G03040;AT1G18750;AT1G23380;AT1G26665;AT1G35460;AT1G68920;AT1G75240;AT2G02470,0.9001222036544152
primary|leaf_auc|down,primary,leaf_auc,down,GO:0005783,endoplasmic reticulum,cellular_component,470,397,24,1.3556996623613269,0.0797830388869123,AT1G01020;AT1G05360;AT1G07420;AT1G07960;AT1G44350;AT1G62430;AT1G80950;AT2G31360,0.9033009084200676
primary|leaf_auc|down,primary,leaf_auc,down,GO:0050793,regulation of developmental process,biological_process,470,68,6,1.978723404255319,0.0819024847622846,AT1G75240;AT1G75840;AT5G08070;AT5G60970;AT5G62880;AT5G65050,0.9033009084200676
primary|leaf_auc|down,primary,leaf_auc,down,GO:0003756,protein disulfide isomerase activity,molecular_function,470,11,2,4.077369439071567,0.0836243635742595,AT1G07960;AT2G01270,0.9033009084200676
primary|leaf_auc|down,primary,leaf_auc,down,GO:0009739,response to gibberellin,biological_process,470,11,2,4.077369439071567,0.0836243635742595,AT4G24210;AT5G61620,0.9033009084200676
primary|leaf_auc|down,primary,leaf_auc,down,GO:0051017,actin filament bundle assembly,biological_process,470,11,2,4.077369439071567,0.0836243635742595,AT2G16700;AT4G34970,0.9033009084200676
primary|leaf_auc|down,primary,leaf_auc,down,GO:0061572,actin filament bundle organization,biological_process,470,11,2,4.077369439071567,0.0836243635742595,AT2G16700;AT4G34970,0.9033009084200676
primary|leaf_auc|down,primary,leaf_auc,down,GO:0016757,glycosyltransferase activity,molecular_function,470,247,16,1.452666034972866,0.085987223899875,AT1G05680;AT1G18690;AT1G77130;AT2G13290;AT2G15490;AT2G32530;AT2G36750;AT2G43820,0.9137231499292978
primary|leaf_auc|down,primary,leaf_auc,down,GO:0031461,cullin-RING ubiquitin ligase complex,cellular_component,470,86,7,1.8253339930727364,0.0886083216019598,AT1G21410;AT2G17020;AT2G25740;AT3G07550;AT4G02740;AT4G24210;AT4G38480,0.9137231499292978
primary|leaf_auc|down,primary,leaf_auc,down,GO:0031323,obsolete regulation of cellular metabolic process,biological_process,470,849,46,1.215046487732752,0.0950001635645746,AT1G03040;AT1G07350;AT1G18750;AT1G23380;AT1G26665;AT1G27630;AT1G35460;AT1G54610,0.9137231499292978
primary|leaf_auc|down,primary,leaf_auc,down,GO:0005102,signaling receptor binding,molecular_function,470,12,2,3.7375886524822697,0.0974807469533269,AT2G26300;AT4G13195,0.9137231499292978
primary|leaf_auc|down,primary,leaf_auc,down,GO:0007163,establishment or maintenance of cell polarity,biological_process,470,12,2,3.7375886524822697,0.0974807469533269,AT1G75840;AT5G62880,0.9137231499292978
primary|leaf_auc|down,primary,leaf_auc,down,GO:0008154,actin polymerization or depolymerization,biological_process,470,12,2,3.7375886524822697,0.0974807469533269,AT2G16700;AT4G34970,0.9137231499292978
primary|leaf_auc|down,primary,leaf_auc,down,GO:0009306,protein secretion,biological_process,470,12,2,3.7375886524822697,0.0974807469533269,AT3G09900;AT3G52190,0.9137231499292978
primary|leaf_auc|down,primary,leaf_auc,down,GO:0015850,organic hydroxy compound transport,biological_process,470,12,2,3.7375886524822697,0.0974807469533269,AT1G01020;AT5G23820,0.9137231499292978
primary|leaf_auc|down,primary,leaf_auc,down,GO:0030042,actin filament depolymerization,biological_process,470,12,2,3.7375886524822697,0.0974807469533269,AT2G16700;AT4G34970,0.9137231499292978
primary|leaf_auc|down,primary,leaf_auc,down,GO:0034212,protein N-acetyltransferase activity,molecular_function,470,12,2,3.7375886524822697,0.0974807469533269,AT1G18335;AT3G02980,0.9137231499292978
primary|leaf_auc|down,primary,leaf_auc,down,GO:0035592,establishment of protein localization to extracellular region,biological_process,470,12,2,3.7375886524822697,0.0974807469533269,AT3G09900;AT3G52190,0.9137231499292978
primary|leaf_auc|down,primary,leaf_auc,down,GO:0071692,protein localization to extracellular region,biological_process,470,12,2,3.7375886524822697,0.0974807469533269,AT3G09900;AT3G52190,0.9137231499292978
