substrate_id,label,short,kind,apollo_generic,ares_simulant,name_as_published,surface,mission,landmark,original_weight_g,pristinity_pct,particle_size,n_photos,has_compendium,resolution,evidence,aliases
sim-csm-lmt-1,CSM-LMT-1,CSM-LMT-1,lunar_simulant,,CSM-LMT-1,CSM-LHT-1,Lunar Mare,,,,,,2,,catalogue-only,Row in the NASA ARES Simulant Development Lab table; no use of this simulant is recorded in this repository.,CSM-LMT-1
sim-greenspar,GreenSpar,GreenSpar,lunar_simulant,,GreenSpar,,Lunar Highlands,,,,,,2,,catalogue-only,Row in the NASA ARES Simulant Development Lab table; no use of this simulant is recorded in this repository.,GreenSpar
sim-jpl-mms,JPL MMS,JPL MMS,mars_simulant,,JPL MMS,,Mars,,,,,,2,,catalogue-only,Row in the NASA ARES Simulant Development Lab table; no use of this simulant is recorded in this repository.,JPL MMS
sim-jsc-1a,JSC-1A,JSC-1A,lunar_simulant,,JSC-1A,,Lunar Mare,,,,,,2,,exact,"OSD-476 names its control ""the NASA lunar simulant JSC-1A (Orbitec JSC-1A Lunar)""; exact name match to the ARES SDL table row JSC-1A",JSC-1A|JSC1A|JSC-1A lunar simulant
sim-jsc-mars-1,JSC MARS-1,JSC MARS-1,mars_simulant,,JSC MARS-1,,Mars,,,,,,2,,catalogue-only,Row in the NASA ARES Simulant Development Lab table; no use of this simulant is recorded in this repository.,JSC MARS-1
sim-jsc-rocknest,JSC ROCKNEST,JSC ROCKNEST,mars_simulant,,JSC ROCKNEST,,Mars,,,,,,2,,catalogue-only,Row in the NASA ARES Simulant Development Lab table; no use of this simulant is recorded in this repository.,JSC ROCKNEST
sim-lhs-1,LHS-1,LHS-1,lunar_simulant,,LHS-1,,Lunar Highlands,,,,,,2,,exact,The specification table in substrates.json is titled LHS-1 and sourced from Exolith Lab; the ARES SDL row LHS-1 is likewise Lunar Highlands,LHS-1|LHS-1 (Exolith lunar highlands simulant)
sim-lms-1,LMS-1,LMS-1,lunar_simulant,,LMS-1,,Lunar Mare,,,,,,2,,catalogue-only,Row in the NASA ARES Simulant Development Lab table; no use of this simulant is recorded in this repository.,LMS-1
sim-mls-1,MLS-1,MLS-1,lunar_simulant,,MLS-1,,Lunar Mare,,,,,,2,,catalogue-only,Row in the NASA ARES Simulant Development Lab table; no use of this simulant is recorded in this repository.,MLS-1
sim-nu-lht-2m,NU-LHT-2M,NU-LHT-2M,lunar_simulant,,NU-LHT-2M,,Lunar Highlands,,,,,,2,,catalogue-only,Row in the NASA ARES Simulant Development Lab table; no use of this simulant is recorded in this repository.,NU-LHT-2M
sim-nu-lht-4m,NU-LHT-4M,NU-LHT-4M,lunar_simulant,,NU-LHT-4M,,Lunar Highlands,,,,,,2,,catalogue-only,Row in the NASA ARES Simulant Development Lab table; no use of this simulant is recorded in this repository.,NU-LHT-4M
sim-ob1a,OB1A,OB1A,lunar_simulant,,OB1A,,Lunar Highlands,,,,,,2,,catalogue-only,Row in the NASA ARES Simulant Development Lab table; no use of this simulant is recorded in this repository.,OB1A
sim-oprh2n-j1,OPRH2N-J1,OPRH2N-J1,lunar_simulant,,OPRH2N-J1,,Lunar Highlands,,,,,,2,,catalogue-only,Row in the NASA ARES Simulant Development Lab table; no use of this simulant is recorded in this repository.,OPRH2N-J1
sim-oprl2n,OPRL2N,OPRL2N,lunar_simulant,,OPRL2N,,Lunar Mare,,,,,,2,,catalogue-only,Row in the NASA ARES Simulant Development Lab table; no use of this simulant is recorded in this repository.,OPRL2N
unresolved-lunar-simulant,Lunar simulant,Lunar simulant,lunar_simulant,,,,,,,,,,0,,unresolved,"The CoSE Lunar Large Chamber probe series records only the generic label ""Lunar simulant"" — no product name, supplier or batch — so it cannot be keyed to a row in the ARES simulant table. Several ARES lunar simulants would fit the label equally well.",Lunar simulant
unresolved-martian-regolith-simulant,Martian Regolith Simulant,Martian Regolith Simulant,mars_simulant,,,,,,,,,,0,,unresolved,"Generic label with no product name or supplier. The ARES table lists three Mars simulants (JPL MMS, JSC MARS-1, JSC ROCKNEST) and nothing in this repository distinguishes which, if any, was used.",Martian Regolith Simulant
unresolved-stirred-lunar-simulant,Stirred Lunar simulant,Stirred Lunar simulant,lunar_simulant,,,,,,,,,,0,,unresolved,"The same unidentified material as ""Lunar simulant"", stirred during the run; the product is unrecorded for both.",Stirred Lunar simulant
