substrate_id,label,short,kind,apollo_generic,ares_simulant,name_as_published,surface,mission,landmark,original_weight_g,pristinity_pct,particle_size,n_photos,has_compendium,resolution,evidence,aliases
apollo-10084,Apollo 11 10084,A11,apollo_soil,10084,,,,Apollo 11,,3830.0,60.082,Unsieved,5,True,deposit-stated,"OSD-476 i_Investigation.txt: ""4 x 1 g samples of regolith from Apollo 11 (10084-2075, 2076, 2077, 2078), Apollo 12 (12070-105, 99, 106, 109) and Apollo 17 (70051-159, 160, 161, 162)""",A11|Apollo 11 regolith
apollo-12070,Apollo 12 12070,A12,apollo_soil,12070,,,,Apollo 12,SURVEYOR CRATER,1102.0,80.235,Unsieved,44,True,deposit-stated,"OSD-476 i_Investigation.txt: ""4 x 1 g samples of regolith from Apollo 11 (10084-2075, 2076, 2077, 2078), Apollo 12 (12070-105, 99, 106, 109) and Apollo 17 (70051-159, 160, 161, 162)""",A12|Apollo 12 regolith
apollo-70051,Apollo 17 70051,A17,apollo_soil,70051,,,,Apollo 17,EVA-3,1438.0,80.453,<1 mm,0,False,deposit-stated,"OSD-476 i_Investigation.txt: ""4 x 1 g samples of regolith from Apollo 11 (10084-2075, 2076, 2077, 2078), Apollo 12 (12070-105, 99, 106, 109) and Apollo 17 (70051-159, 160, 161, 162)""",A17|Apollo 17 regolith
medium-arcelite,Arcelite,Arcelite,terrestrial_medium,,,,Terrestrial,,,,,,0,,exact,Named terrestrial growth medium in the CoSE Lunar Large Chamber probe series; not a planetary simulant.,Arcelite
medium-perlite,Perlite (Small particle),Perlite (Small particle),terrestrial_medium,,,,Terrestrial,,,,,,0,,exact,Named terrestrial growth medium in the CoSE Lunar Large Chamber probe series; not a planetary simulant.,Perlite (Small particle)
medium-potassium-polyacrylate,Potassium polyacrylate,Potassium polyacrylate,terrestrial_medium,,,,Terrestrial,,,,,,0,,exact,Named terrestrial growth medium in the CoSE Lunar Large Chamber probe series; not a planetary simulant.,Potassium polyacrylate
medium-potting-soil,Potting soil,Potting soil,terrestrial_medium,,,,Terrestrial,,,,,,0,,exact,Named terrestrial growth medium in the CoSE Lunar Large Chamber probe series; not a planetary simulant.,Potting soil
medium-vermiculite,Vermiculite (old powder),Vermiculite (old powder),terrestrial_medium,,,,Terrestrial,,,,,,0,,exact,Named terrestrial growth medium in the CoSE Lunar Large Chamber probe series; not a planetary simulant.,Vermiculite (old powder)
sim-bp-1,BP-1,BP-1,lunar_simulant,,BP-1,,Lunar Mare,,,,,,2,,catalogue-only,Row in the NASA ARES Simulant Development Lab table; no use of this simulant is recorded in this repository.,BP-1
sim-csm-lht-1,CSM-LHT-1,CSM-LHT-1,lunar_simulant,,CSM-LHT-1,,Lunar Highlands,,,,,,2,,catalogue-only,Row in the NASA ARES Simulant Development Lab table; no use of this simulant is recorded in this repository.,CSM-LHT-1
