gsm,treatment,substrate,replicate,plate,age_at_harvest_days,n_leaves_at_harvest,dev_stage_at_harvest,leaf_first_day,leaf_final,leaf_rate_per_day,leaf_auc,join_confidence,n_plants,plant_ids,area_mm2_first,area_mm2_last,rgr_area_per_day,solidity_last,height_mm_last,longest_path_mm_last,ellipse_eccentricity_last,area_slope_mm2_per_day,qc_solidity_out_of_range,qc_leaf_area_spearman,qc_leaf_area_p
GSM5691021,Apollo 12 regolith,A12,3,P3,21,4.0,LP.04 four leaves visible stage,10.0,4.0,0.3671119299861816,18.0,exact,1,P3-A12,3.85421841,0.60594105,-0.3083568023749824,1.015765766,0.8063967999999999,7.037644799999999,0.80589495,-0.8346232582000002,True,0.8427,4.164043713841732e-05
GSM5691022,Apollo 17 regolith,A17,3,P3,21,4.0,LP.04 four leaves visible stage,10.0,4.0,0.3560571165361585,18.0,exact,1,P3-A17,1.77460416,2.2544769,0.0398900971742664,0.68798688,1.9793376,21.259552,0.926065102,-0.0990019276000003,False,0.8427,4.164043713841732e-05
GSM5691023,JSC-1A lunar simulant,JSC1A,4,P4,20,10.0,LP.10 ten leaves visible stage,4.0,10.0,0.7314601566098575,67.0,plate_mean,4,P4-JSC1A-1;P4-JSC1A-2;P4-JSC1A-3;P4-JSC1A-4,3.1204402124999997,41.829267599999994,0.3244527738396702,0.5866824740000001,9.2253795,86.53847025,0.765314949,4.604862435924999,False,0.8427,4.164043713841732e-05
GSM5691024,Apollo 11 regolith,A11,4,P4,21,2.0,LP.02 two leaves visible stage,12.0,2.0,0.205895900506679,8.0,exact,1,P4-A11,3.17457465,0.324216,-0.2851898716890979,0.981595092,0.8453535000000001,5.733702,0.722602724,-0.4811659047999998,False,0.8427,4.164043713841732e-05
GSM5691025,Apollo 12 regolith,A12,4,P4,21,6.0,LP.06 six leaves visible stage,6.0,6.0,0.4859511745739291,36.5,exact,1,P4-A12,4.698213,12.3688404,0.1209997769291204,0.698637976,5.366157,44.8772445,0.869359463,0.6484587267,False,0.8427,4.164043713841732e-05
GSM5691026,Apollo 17 regolith,A17,4,P4,21,4.0,LP.04 four leaves visible stage,6.0,4.0,0.3293413173652695,29.0,exact,1,P4-A17,3.9081783,3.29169984,-0.028611209576181,0.252580449,8.3161579,57.6320637,0.879129272,-0.2668944378,False,0.8427,4.164043713841732e-05
GSM5691027,JSC-1A lunar simulant,JSC1A,5,,21,,Not Available,,,,,unlinked,0,,,,,,,,,,False,0.8427,4.164043713841732e-05
GSM5691028,JSC-1A lunar simulant,JSC1A,6,,21,,Not Available,,,,,unlinked,0,,,,,,,,,,False,0.8427,4.164043713841732e-05
GSM5691029,JSC-1A lunar simulant,JSC1A,7,,21,,Not Available,,,,,unlinked,0,,,,,,,,,,False,0.8427,4.164043713841732e-05
GSM5691030,JSC-1A lunar simulant,JSC1A,8,,21,,Not Available,,,,,unlinked,0,,,,,,,,,,False,0.8427,4.164043713841732e-05
