generic,mission,sample_type,sample_subtype,original_weight_g,pristinity_pct,station,landmark,generic_description,has_pds_photos,n_pds_photos,n_pds_jpegs,has_compendium,compendium_url,has_thin_section,has_3d_scan,has_display,is_osd476_regolith
10022,Apollo 11,Basalt,Ilmenite,95.59,42.19,,,"high K, fine-grained, subophitic, many large vesicles",True,68,68,True,https://curator.jsc.nasa.gov/lunar/lsc/10022.pdf,True,True,False,False
10023,Apollo 11,Breccia,Regolith,66.0,29.153,,,"random fractures, poorly indurated, few clasts",True,38,38,True,https://curator.jsc.nasa.gov/lunar/lsc/10023.pdf,True,False,False,False
10024,Apollo 11,Basalt,Ilmenite,68.12,40.057,,,"high K, medium-grained, intergranular, few vugs",True,37,37,True,https://curator.jsc.nasa.gov/lunar/lsc/10024.pdf,True,False,False,False
10025,Apollo 11,Breccia,Regolith,8.59,0.0,,,"friable, few large clasts some small ones, basalt clasts",True,16,16,True,https://curator.jsc.nasa.gov/lunar/lsc/10025.pdf,True,False,False,False
10026,Apollo 11,Breccia,Regolith,9.247,0.0,,,few small to large clasts,True,17,17,True,https://curator.jsc.nasa.gov/lunar/lsc/10026.pdf,True,False,False,False
10027,Apollo 11,Breccia,Regolith,8.87,0.0,,,few small to large clasts,True,21,21,False,,True,False,False,False
10028,Apollo 11,Breccia,Regolith,3.53,85.89,,,few small to large clasts,True,14,14,False,,True,False,False,False
10029,Apollo 11,Basalt,Ilmenite,5.53,0.0,,,"low K, medium-grained, ophitic, olivine in pyroxene",True,5,5,True,https://curator.jsc.nasa.gov/lunar/lsc/10029.pdf,True,False,False,False
10030,Apollo 11,Breccia,Regolith,1.81,96.69,,,"coherent, few clasts, 1.7 gram rock",True,14,14,False,,False,False,False,False
10031,Apollo 11,Basalt,Ilmenite,2.7,90.741,,,"high K, vitrophyre, fine-grained to glassy groundmass, olivine & armalcolite w/ ilmenite phenocrysts",True,2,2,True,https://curator.jsc.nasa.gov/lunar/lsc/10031.pdf,True,False,False,False
10032,Apollo 11,Basalt,Ilmenite,3.13,0.0,,,"high K, fine-grained, sl vesicles, olivine, pigeonite to augite, anorthositic",True,18,18,True,https://curator.jsc.nasa.gov/lunar/lsc/10032.pdf,True,False,False,False
10033,Apollo 11,Soil,Unsieved,1.12,0.0,,,"Fines, Unsieved",False,0,0,False,,False,False,False,False
10035,Apollo 11,Unclassified,,0.31,100.0,,,,False,0,0,False,,False,False,False,False
10037,Apollo 11,Unclassified,,0.0,0.0,,,,False,0,0,False,,False,False,False,False
10038,Apollo 11,Unclassified,,0.0,0.0,,,,False,0,0,False,,False,False,False,False
10044,Apollo 11,Basalt,Cristobalite,247.5,50.43,,,"low K, medium-grained, ophitic, vugs, cristobalite",True,89,89,True,https://curator.jsc.nasa.gov/lunar/lsc/10044.pdf,True,False,False,False
10045,Apollo 11,Basalt,Olivine,185.0,12.126,,,"low K, fine-grained, ophitic, few vugs, few vesicles, olivine, pyroxene, anorthite, ilmenite",True,67,67,True,https://curator.jsc.nasa.gov/lunar/lsc/10045.pdf,True,False,True,False
10046,Apollo 11,Breccia,Regolith,663.0,65.601,,,"friable, lots of agglutinates",True,94,94,True,https://curator.jsc.nasa.gov/lunar/lsc/10046.pdf,True,False,False,False
10047,Apollo 11,Basalt,Ilmenite,138.0,33.493,,,"low K, medium-grained, ophitic, few vugs, olivine in pyroxene",True,63,63,True,https://curator.jsc.nasa.gov/lunar/lsc/10047.pdf,True,False,True,False
10048,Apollo 11,Breccia,Regolith,579.0,63.969,,,"coherent, vitric, glass matrix",True,86,86,True,https://curator.jsc.nasa.gov/lunar/lsc/10048.pdf,True,False,False,False
10049,Apollo 11,Basalt,Ilmenite,193.0,70.134,,,"high K, very fine-grained, intergranular, vesicular to vuggy, pyroxene, anorthositic, ilmenite",True,77,77,True,https://curator.jsc.nasa.gov/lunar/lsc/10049.pdf,True,False,False,False
10050,Apollo 11,Basalt,Ilmenite,114.5,49.052,,,"low K, medium-grained, subophitic to ophitic, vesicular to vuggy, microgabbro, olivine, pyroxene, anorthositic, ilmenite, cristobalite, xenoliths",True,46,46,True,https://curator.jsc.nasa.gov/lunar/lsc/10050.pdf,True,False,False,False
10054,Apollo 11,Soil,Unsieved,0.0,0.0,,,"Fines, Unsieved",False,0,0,False,,False,False,False,False
10056,Apollo 11,Breccia,Regolith,185.04,95.849,,,"tough, large anorthosite clast",True,69,69,True,https://curator.jsc.nasa.gov/lunar/lsc/10056.pdf,True,False,False,False
10057,Apollo 11,Basalt,Ilmenite,919.0,35.145,,,"high K, subophitic to intergranular, many vesicles, pyroxene, anorthositic, ilmenite, cristobalite",True,84,84,True,https://curator.jsc.nasa.gov/lunar/lsc/10057.pdf,True,False,True,False
10058,Apollo 11,Basalt,Ilmenite,282.0,87.947,,,"low K, medium-grained, ophitic, few vugs, olivine in pyroxene, pyroxene, ilmenite, anorthite, cristobalite",True,60,60,True,https://curator.jsc.nasa.gov/lunar/lsc/10058.pdf,True,False,False,False
10059,Apollo 11,Breccia,Regolith,188.0,36.942,,,"coherent, vitric, glass matrix",True,66,66,True,https://curator.jsc.nasa.gov/lunar/lsc/10059.pdf,True,False,False,False
10060,Apollo 11,Breccia,Regolith,722.0,82.759,,,"friable, many agglutinates",True,81,81,True,https://curator.jsc.nasa.gov/lunar/lsc/10060.pdf,True,False,False,False
10061,Apollo 11,Breccia,Regolith,346.0,68.67,,,"friable, few small clasts",True,57,57,True,https://curator.jsc.nasa.gov/lunar/lsc/10061.pdf,True,False,False,False
10062,Apollo 11,Basalt,Ilmenite,78.5,35.073,,,"low K, medium-grained, ophitic, few vugs, olivine, pyroxene, anorthositic, cristobalite",True,54,54,True,https://curator.jsc.nasa.gov/lunar/lsc/10062.pdf,True,False,False,False
10063,Apollo 11,Breccia,Regolith,148.0,92.596,,,large mare basalts clasts,True,23,23,True,https://curator.jsc.nasa.gov/lunar/lsc/10063.pdf,True,False,False,False
10064,Apollo 11,Breccia,Regolith,65.0,75.602,,,few large clasts,True,16,16,True,https://curator.jsc.nasa.gov/lunar/lsc/10064.pdf,True,False,False,False
10065,Apollo 11,Breccia,Regolith,347.0,66.47,,,"coherent, vitric, glass matrix, few clasts",True,57,57,True,https://curator.jsc.nasa.gov/lunar/lsc/10065.pdf,True,False,False,False
10066,Apollo 11,Breccia,Regolith,40.0,93.05,,,"few clasts, many agglutinates",True,20,20,False,,True,False,False,False
10067,Apollo 11,Breccia,Regolith,69.3,68.918,,,several clasts,True,28,28,True,https://curator.jsc.nasa.gov/lunar/lsc/10067.pdf,True,False,False,False
10068,Apollo 11,Breccia,Regolith,218.0,67.228,,,"few clasts, many agglutinates",True,30,30,True,https://curator.jsc.nasa.gov/lunar/lsc/10068.pdf,True,False,False,False
10069,Apollo 11,Basalt,Ilmenite,119.5,61.09,,,"high K, very fine-grained, intergranular, vesicles, pyroxene, anorthositic, ilmenite",True,42,42,True,https://curator.jsc.nasa.gov/lunar/lsc/10069.pdf,True,False,False,False
10070,Apollo 11,Breccia,Regolith,60.16,112.5,,,"few clasts, many agglutinates",True,21,21,True,https://curator.jsc.nasa.gov/lunar/lsc/10070.pdf,True,False,False,False
10071,Apollo 11,Basalt,Ilmenite,189.5,68.016,,,"high K, fine-grained, intergranular, large vesicles, olivine in pyroxene, pyroxene, anorthositic, armalcolite",True,42,42,True,https://curator.jsc.nasa.gov/lunar/lsc/10071.pdf,True,False,False,False
10072,Apollo 11,Basalt,Ilmenite,447.0,15.215,,,"high K, fine-grained, subophitic, large vesicles, olivine, pyroxene, cristobalite, armalcolite, plagioclase, ilmenite",True,77,77,True,https://curator.jsc.nasa.gov/lunar/lsc/10072.pdf,True,False,True,False
10073,Apollo 11,Breccia,Regolith,124.5,64.251,,,"few clasts, many agglutinates",True,37,37,True,https://curator.jsc.nasa.gov/lunar/lsc/10073.pdf,True,False,False,False
10074,Apollo 11,Breccia,Regolith,55.5,99.117,,,several clasts,True,22,22,True,https://curator.jsc.nasa.gov/lunar/lsc/10074.pdf,True,False,False,False
10075,Apollo 11,Breccia,Regolith,53.0,67.66,,,"few clasts, many agglutinates, few large clasts",True,19,19,True,https://curator.jsc.nasa.gov/lunar/lsc/10075.pdf,True,False,False,False
10077,Apollo 11,Unclassified,,0.0,0.0,,,,False,0,0,False,,False,False,False,False
10079,Apollo 11,Unclassified,,0.0,0.0,,,,False,0,0,False,,False,False,False,False
10082,Apollo 11,Breccia,Regolith,50.5,93.109,,,"few clasts, many agglutinates, few large clasts",True,11,11,True,https://curator.jsc.nasa.gov/lunar/lsc/10082.pdf,True,False,False,False
10084,Apollo 11,Soil,Unsieved,3830.0,60.082,,,"Fines, Unsieved",True,5,5,True,https://curator.jsc.nasa.gov/lunar/lsc/10084.pdf,True,False,False,True
10085,Apollo 11,Soil,Unsieved,569.0,52.973,,,"Fines, Unsieved",True,70,70,True,https://curator.jsc.nasa.gov/lunar/lsc/10085.pdf,True,False,False,False
10086,Apollo 11,Soil,Unsieved,823.0,0.009,,,"Fines, Unsieved",False,0,0,True,https://curator.jsc.nasa.gov/lunar/lsc/10086.pdf,False,False,False,False
10087,Apollo 11,Soil,Unsieved,17.4,4.598,,,"Fines, Unsieved",False,0,0,False,,False,False,False,False
10089,Apollo 11,Soil,Unsieved,50.0,0.0,,,"Fines, Unsieved",False,0,0,False,,False,False,False,False
10090,Apollo 11,Soil,Unsieved,12.0,0.0,,,"Fines, Unsieved",False,0,0,False,,False,False,False,False
10091,Apollo 11,Breccia,Regolith,0.0,0.0,,,"coherent, vitric, glass matrix, few clasts",True,2,2,True,https://curator.jsc.nasa.gov/lunar/lsc/10091.pdf,False,False,False,False
10092,Apollo 11,Basalt,Ilmenite,46.0,83.92,,,"low K, intergranular, large vesicles to vuggy, olivine, pyroxene, anorthite, ilmenite, cristobalite",True,7,7,True,https://curator.jsc.nasa.gov/lunar/lsc/10092.pdf,True,False,False,False
10093,Apollo 11,Breccia,Regolith,25.85,93.114,,,"many agglutinates, few large clasts",True,9,9,True,https://curator.jsc.nasa.gov/lunar/lsc/10093.pdf,True,False,False,False
10094,Apollo 11,Breccia,Regolith,30.25,92.641,,,"few large clasts, many basaltic clasts, agglutinates, mineral clasts",True,8,8,True,https://curator.jsc.nasa.gov/lunar/lsc/10094.pdf,True,False,False,False
10100,Apollo 11,Unclassified,,0.0,0.0,,,,False,0,0,False,,False,False,False,False
10101,Apollo 11,Unclassified,,0.0,0.0,,,,False,0,0,False,,False,False,False,False
10102,Apollo 11,Unclassified,,0.0,0.0,,,,False,0,0,False,,False,False,False,False
10103,Apollo 11,Unclassified,,0.0,0.0,,,,False,0,0,False,,False,False,False,False
10104,Apollo 11,Unclassified,,0.0,0.0,,,,False,0,0,False,,False,False,False,False
12001,Apollo 12,Soil,Unsieved,2216.0,69.443,LM,,"Fines, Unsieved",True,50,50,True,https://curator.jsc.nasa.gov/lunar/lsc/12001.pdf,True,False,False,False
12002,Apollo 12,Basalt,Olivine,1530.0,49.042,,,"C, medium-grained, few vesicles & vugs, ilmenite, chromite, ulvospinel, porphyritic olivine, radiate matrix",True,160,160,True,https://curator.jsc.nasa.gov/lunar/lsc/12002.pdf,True,False,False,False
12003,Apollo 12,Soil,Unsieved,300.0,28.516,,,"Fines, Unsieved",True,28,27,True,https://curator.jsc.nasa.gov/lunar/lsc/12003.pdf,True,False,False,False
12004,Apollo 12,Basalt,Olivine,585.0,85.528,,MIDDLE CRESCENT CRATER,"C, medium-grained, few vesicles & vugs, ilmenite, chromite, ulvospinel, silica, porphyritic olivine, radiate matrix",True,130,130,True,https://curator.jsc.nasa.gov/lunar/lsc/12004.pdf,True,False,False,False
12005,Apollo 12,Basalt,Ilmenite,482.0,88.305,,,"C, medium to coarse-grained, none to very few vesicles & vugs, pyroxene, enclosed embayed olivine, ilmenite, chromite, ulvospinel, variable, highest Mg/Fe",True,14,14,True,https://curator.jsc.nasa.gov/lunar/lsc/12005.pdf,True,False,False,False
12006,Apollo 12,Basalt,Olivine,206.4,0.527,,,"C, medium-grained, few vugs, ilmenite, chromite, ulvospinel, subophitic, radiating feldspar laths",True,102,102,True,https://curator.jsc.nasa.gov/lunar/lsc/12006.pdf,True,False,True,False
12007,Apollo 12,Basalt,Pigeonite,65.2,72.719,,,"C, medium-grained, few vugs, ilmenite, chromite, ulvospinel, silica, porphyritic pigeonite, ophitic to radiate matrix",True,56,56,True,https://curator.jsc.nasa.gov/lunar/lsc/12007.pdf,True,False,False,False
12008,Apollo 12,Basalt,Ilmenite,58.4,57.711,,,"C, fine-grained, no vesicles & vugs, ilmenite, chromite, ulvospinel, silica, olivine porphyritic, very fine-grained to glassy matrix",True,98,98,True,https://curator.jsc.nasa.gov/lunar/lsc/12008.pdf,True,False,False,False
12009,Apollo 12,Basalt,Olivine,468.2,88.431,,,"C, fine-grained, 1 large vesicle, ilmenite, chromite, ulvospinel, vitrophyre, skeleton olivine phenocrysts in spherulite matrix",True,90,90,True,https://curator.jsc.nasa.gov/lunar/lsc/12009.pdf,True,False,False,False
12010,Apollo 12,Breccia,Regolith,360.0,87.529,,,"abundant mare basalt clasts, abundant glass fragments and solivinear wind gases, shocked mineral grains",True,100,100,True,https://curator.jsc.nasa.gov/lunar/lsc/12010.pdf,True,False,False,False
12011,Apollo 12,Basalt,Pigeonite,193.0,93.492,,,"C, medium-grained, rare vugs, ilmenite, chromite, silica, olivine & pigeonite phenocrysts, fine-grained radiate groundmass",True,30,30,True,https://curator.jsc.nasa.gov/lunar/lsc/12011.pdf,True,False,False,False
12012,Apollo 12,Basalt,Olivine,176.2,91.922,,,"C, medium-grained, no vesicles & vugs, ilmenite, chromite, silica, olivine porphyritic, subophitic groundmass",True,38,38,True,https://curator.jsc.nasa.gov/lunar/lsc/12012.pdf,True,False,False,False
12013,Apollo 12,Breccia,Fragmental,82.3,75.618,,MIDDLE CRESCENT CRATER,"unique breccia with granitic component, mixture of 2 polymict breccias, one basaltic and the other silica and K-rich",True,129,129,True,https://curator.jsc.nasa.gov/lunar/lsc/12013.pdf,True,True,False,False
12014,Apollo 12,Basalt,Olivine,159.4,91.176,,,"C, fine-grained, no vesicles & vugs, ilmenite, chromite, silica, olivine porphyritic, subophitic groundmass",True,39,39,True,https://curator.jsc.nasa.gov/lunar/lsc/12014.pdf,True,False,False,False
12015,Apollo 12,Basalt,Olivine,191.2,93.524,,MIDDLE CRESCENT CRATER,"C, fine-grained, 1 large vesicle, ilmenite, chromite, ulvospinel, vitrophyre with olivine phenocrysts",True,31,31,True,https://curator.jsc.nasa.gov/lunar/lsc/12015.pdf,True,False,False,False
12016,Apollo 12,Basalt,Ilmenite,2028.0,100.076,,,"C, medium-grained, few vesicles & vugs, olivine, ulvospinel, ilmenite, Fe metal, intersertal to subophitic, cryptocrystalline matrix",True,23,23,True,https://curator.jsc.nasa.gov/lunar/lsc/12016.pdf,True,False,False,False
12017,Apollo 12,Basalt,Pigeonite,53.0,62.445,,,"C, medium-grained, no vesicles & vugs, ilmenite, chromite, ulvospinel, silica, pigeonite phenocrysts, radiate to subophitic groundmass",False,0,0,True,https://curator.jsc.nasa.gov/lunar/lsc/12017.pdf,True,False,False,False
12018,Apollo 12,Basalt,Olivine,787.0,57.045,,,"C, medium-grained, rare vugs, ilmenite, chromite, ulvospinel, silica, large olivine and pyroxene in radiate matrix",True,94,94,True,https://curator.jsc.nasa.gov/lunar/lsc/12018.pdf,True,False,True,False
12019,Apollo 12,Basalt,Pigeonite,462.4,97.139,,,"C, medium-grained, few vesicles, skeleton olivine, ilmenite, Cr-spinel, ulvospinel, Fe metal, abundant small pigeonite phenocrysts, radiate to subophitic groundmass",True,97,93,True,https://curator.jsc.nasa.gov/lunar/lsc/12019.pdf,True,True,False,False
12020,Apollo 12,Basalt,Olivine,312.0,76.654,,,"C, medium-grained, few vugs, ilmenite, Cr-spinel, ulvospinel, silica, rounded olivine, elongated pyroxenite, radiate groundmass",False,0,0,True,https://curator.jsc.nasa.gov/lunar/lsc/12020.pdf,True,False,False,False
12021,Apollo 12,Basalt,Pigeonite,1877.0,85.775,,,"C, few vugs, radiate groundmass, plagioclase, ilmenite, ilmenite, olivine, silica, elongated pigeonite phenocrysts",True,186,186,True,https://curator.jsc.nasa.gov/lunar/lsc/12021.pdf,True,False,False,False
12022,Apollo 12,Basalt,Ilmenite,1864.0,79.757,,,"C, medium-grained, few vugs, ilmenite, silica, porphyritic, olivine and pyroxene phenocrysts, radiate groundmass",True,120,120,True,https://curator.jsc.nasa.gov/lunar/lsc/12022.pdf,True,False,True,False
12023,Apollo 12,Special,,407.9,66.891,,SHARP CRATER,LESC,False,0,0,True,https://curator.jsc.nasa.gov/lunar/lsc/12023.pdf,True,False,False,False
12024,Apollo 12,Soil,Unsieved,56.5,65.873,,SHARP CRATER,GASC,True,17,17,False,,True,False,False,False
12025,Apollo 12,Core,Unsieved,56.1,163.405,LM,HALO CRATER,Core 2010 (second EVA — top of double tube),True,43,43,False,,True,False,False,False
12026,Apollo 12,Core,Unsieved,101.4,53.278,LM,,Core 2013 (first EVA),True,41,41,True,https://curator.jsc.nasa.gov/lunar/lsc/12026.pdf,False,False,False,False
12027,Apollo 12,Core,Unsieved,80.0,48.498,LM,SHARP CRATER,Core 2011 (second EVA),True,67,67,False,,True,False,False,False
12028,Apollo 12,Core,Unsieved,189.6,27.559,LM,HALO CRATER,Core 2012 (second EVA —bottom of double tube),True,50,50,True,https://curator.jsc.nasa.gov/lunar/lsc/12028.pdf,True,False,False,False
12029,Apollo 12,Soil,Unsieved,6.5,0.0,,SURVEYOR CRATER,"Fines, Unsieved",True,4,4,True,https://curator.jsc.nasa.gov/lunar/lsc/12029.pdf,False,False,True,False
12030,Apollo 12,Soil,Unsieved,75.0,68.661,,HEAD CRATER,"Fines, Unsieved",True,53,53,True,https://curator.jsc.nasa.gov/lunar/lsc/12030.pdf,True,False,False,False
12031,Apollo 12,Basalt,Pigeonite,185.0,97.177,,HEAD CRATER,"C, medium-grained, few vugs, ilmenite, tridymite, pyroxferroite, pyroxene-feldspar intergrowths, dendritic ilmenite",True,84,84,True,https://curator.jsc.nasa.gov/lunar/lsc/12031.pdf,True,False,False,False
12032,Apollo 12,Soil,Unsieved,310.5,69.515,,BENCH CRATER,"Fines, Unsieved",True,53,53,True,https://curator.jsc.nasa.gov/lunar/lsc/12032.pdf,True,False,False,False
12033,Apollo 12,Soil,Unsieved,450.0,68.265,,HEAD CRATER,"Fines, Unsieved",True,49,49,True,https://curator.jsc.nasa.gov/lunar/lsc/12033.pdf,True,False,False,False
12034,Apollo 12,Breccia,Regolith,155.0,90.615,,HEAD CRATER,"fragmental, abundant glass, mineral fragments, KREEP glass and lithic fragments, from distant source",True,155,155,True,https://curator.jsc.nasa.gov/lunar/lsc/12034.pdf,True,False,False,False
12035,Apollo 12,Basalt,Olivine,71.0,48.544,,BENCH CRATER,"C, medium to coarse-grained, many vugs, Cr-spinel, ilmenite, large olivine and pyroxene with poikilitic  plagioclase",True,54,54,True,https://curator.jsc.nasa.gov/lunar/lsc/12035.pdf,True,False,False,False
12036,Apollo 12,Basalt,Olivine,75.0,73.007,,BENCH CRATER,"C, medium to coarse-grained, many vugs, high K, glass intersitital, K-spar, large olivine and pyroxene with poikilitic  plagioclase, very much like 12035",True,71,71,True,https://curator.jsc.nasa.gov/lunar/lsc/12036.pdf,True,False,False,False
12037,Apollo 12,Soil,Unsieved,145.0,74.746,,BENCH CRATER,"Fines, Unsieved",True,42,42,True,https://curator.jsc.nasa.gov/lunar/lsc/12037.pdf,True,False,False,False
12038,Apollo 12,Basalt,Feldspathic,746.0,80.5,,BENCH CRATER,"C, medium-grained, many vugs, ilmenite, sris, chromite, Fe metal, fayalite, K-feldspar, intersertal to subophitic",True,129,129,True,https://curator.jsc.nasa.gov/lunar/lsc/12038.pdf,True,True,False,False
12039,Apollo 12,Basalt,Pigeonite,255.0,90.374,,BENCH CRATER,"C, medium-grained, few vugs, ilmenite, tridymite, cristobalite, Fe metal, pyroxene phenocrysts, subophitic matrix",True,69,60,True,https://curator.jsc.nasa.gov/lunar/lsc/12039.pdf,True,False,False,False
12040,Apollo 12,Basalt,Olivine,319.0,71.111,,BENCH CRATER,"C, medium-grained, few large vugs, ilmenite, chromite, ulvospinel, silica, small olivine, larger augite-pigeonite, elongated plagioclase",True,109,109,True,https://curator.jsc.nasa.gov/lunar/lsc/12040.pdf,True,False,False,False
12041,Apollo 12,Soil,Unsieved,19.3,41.399,,BENCH CRATER,"Fines, Unsieved",True,30,30,True,https://curator.jsc.nasa.gov/lunar/lsc/12041.pdf,True,False,False,False
12042,Apollo 12,Soil,Unsieved,255.0,61.641,,SURVEYOR CRATER,"Fines, Unsieved",True,31,31,True,https://curator.jsc.nasa.gov/lunar/lsc/12042.pdf,True,False,False,False
12043,Apollo 12,Basalt,Pigeonite,60.0,94.825,,SURVEYOR CRATER,"C, medium-grained, few vesicles, ilmenite, chromite, ulvospinel, silica, pigeonite phenocrysts, subophitic to radiate groundmass",True,38,38,True,https://curator.jsc.nasa.gov/lunar/lsc/12043.pdf,True,False,False,False
12044,Apollo 12,Soil,Unsieved,92.0,99.17,,SURVEYOR CRATER,"Fines, Unsieved",True,89,89,True,https://curator.jsc.nasa.gov/lunar/lsc/12044.pdf,True,False,False,False
12045,Apollo 12,Basalt,Ilmenite,63.0,83.91,,BLOCK CRATER,"C, fine-grained, vesicles & vugs, ilmenite, silica, troilite, Fe metal, olivine phenocrysts, radiate matrix",True,43,43,True,https://curator.jsc.nasa.gov/lunar/lsc/12045.pdf,True,False,False,False
12046,Apollo 12,Basalt,Ilmenite,166.0,96.586,,BLOCK CRATER,"C, medium-grained, few vesicles, olivine, chromite, ulvospinel, ilmenite, silica, ophitic to subophitic",True,89,89,True,https://curator.jsc.nasa.gov/lunar/lsc/12046.pdf,True,False,False,False
12047,Apollo 12,Basalt,Ilmenite,193.0,33.699,,BLOCK CRATER,"C, medium-grained, few vesicles, ilmenite, silica, chromite, ulvospinel, subophitic, ilmenite and  feldspar laths",True,112,102,True,https://curator.jsc.nasa.gov/lunar/lsc/12047.pdf,True,False,True,False
12048,Apollo 12,Soil,Unsieved,136.0,1.01,,,"Fines, Unsieved",True,40,40,False,,True,False,False,False
12050,Apollo 12,Breccia,Unclassified,1.0,0.0,,,Chip for organic analysis,False,0,0,False,,False,False,False,False
12051,Apollo 12,Basalt,Ilmenite,1660.0,87.534,,SURVEYOR CRATER,"C, medium-grained, few vesicles & vugs, ilmenite, silica, chromite, ulvospinel, pyroxene phenocrysts, intersertal to subophitic matrix",True,160,160,True,https://curator.jsc.nasa.gov/lunar/lsc/12051.pdf,True,False,False,False
12052,Apollo 12,Basalt,Pigeonite,1866.0,86.928,,HEAD CRATER,"C, medium-grained, many vugs, ilmenite, chromite, ulvospinel, pyroxene  & olivine (few) phenocrysts, radiate groundmass",True,262,262,True,https://curator.jsc.nasa.gov/lunar/lsc/12052.pdf,True,False,False,False
12053,Apollo 12,Basalt,Pigeonite,879.0,46.433,,BENCH CRATER,"C, medium-grained, few vesicles, ilmenite, chromite, ulvospinel, rare silica, pyroxene & olivine phenocrysts, radiate groundmass",False,0,0,True,https://curator.jsc.nasa.gov/lunar/lsc/12053.pdf,True,False,True,False
12054,Apollo 12,Basalt,Ilmenite,687.0,90.978,,SURVEYOR CRATER,"C, medium-grained, few vugs, maskelynite, ilmenite, chromite, ulvospinel, subophitic, equigranular, large glass splash coating",True,131,131,True,https://curator.jsc.nasa.gov/lunar/lsc/12054.pdf,True,False,False,False
12055,Apollo 12,Basalt,Pigeonite,912.0,26.002,,HEAD CRATER,"C, medium-grained, rare vesicles, ilmenite, chromite, ulvospinel, rare olivine and silica, porphyritic, pyroxene phenocrysts, radiate to subophitic groundmass",True,67,67,True,https://curator.jsc.nasa.gov/lunar/lsc/12055.pdf,True,False,True,False
12056,Apollo 12,Basalt,Ilmenite,121.0,92.464,,SURVEYOR CRATER,"C, medium-grained, few vesicles, olivine, chromite, ulvospinel, ilmenite, silica, subophitic, equigranular, symplectite",True,52,52,True,https://curator.jsc.nasa.gov/lunar/lsc/12056.pdf,True,False,False,False
12057,Apollo 12,Soil,Unsieved,650.0,58.046,,,"Fines, Unsieved",True,126,125,True,https://curator.jsc.nasa.gov/lunar/lsc/12057.pdf,True,False,False,False
12059,Apollo 12,Unclassified,,0.0,0.0,,,,False,0,0,False,,False,False,False,False
12060,Apollo 12,Soil,Unsieved,20.7,107.111,,SURVEYOR CRATER,"Fines, Unsieved",True,15,15,True,https://curator.jsc.nasa.gov/lunar/lsc/12060.pdf,True,False,False,False
