generic,mission,sample_type,sample_subtype,original_weight_g,pristinity_pct,station,landmark,generic_description,has_pds_photos,n_pds_photos,n_pds_jpegs,has_compendium,compendium_url,has_thin_section,has_3d_scan,has_display,is_osd476_regolith
10001,Apollo 11,Soil,Unsieved,125.8,88.355,,,"Fines, Unsieved",False,0,0,False,,False,False,False,False
10002,Apollo 11,Soil,Unsieved,5629.0,93.734,,,"Fines, Unsieved",True,37,37,True,https://curator.jsc.nasa.gov/lunar/lsc/10002.pdf,True,False,False,False
10003,Apollo 11,Basalt,Ilmenite,213.0,65.562,,,"low K, medium-grained, ophitic, few vugs, cristobalite",True,70,70,True,https://curator.jsc.nasa.gov/lunar/lsc/10003.pdf,True,False,False,False
10004,Apollo 11,Core,Unsieved,44.8,71.757,LM,,"Core, Unsieved",True,143,143,True,https://curator.jsc.nasa.gov/lunar/lsc/10004.pdf,True,False,False,False
10005,Apollo 11,Core,Unsieved,53.4,40.305,LM,,"Core, Unsieved",True,41,41,True,https://curator.jsc.nasa.gov/lunar/lsc/10005.pdf,True,False,False,False
10006,Apollo 11,Unclassified,,0.0,0.0,,,,False,0,0,False,,False,False,False,False
10007,Apollo 11,Unclassified,,0.0,0.0,,,,False,0,0,False,,False,False,False,False
10008,Apollo 11,Soil,Unsieved,89.0,5.747,,,"Fines, Unsieved",False,0,0,False,,False,False,False,False
10009,Apollo 11,Breccia,Regolith,112.0,97.274,,,"tough, few clasts, hackly surfaces",True,9,9,True,https://curator.jsc.nasa.gov/lunar/lsc/10009.pdf,True,False,False,False
10010,Apollo 11,Soil,Unsieved,491.0,91.03,,,"Fines, Unsieved",True,18,18,True,https://curator.jsc.nasa.gov/lunar/lsc/10010.pdf,True,False,False,False
10011,Apollo 11,Soil,Unsieved,82.6,62.01,,,"Fines, Unsieved",False,0,0,False,,False,False,False,False
10012,Apollo 11,Unclassified,,0.0,0.0,,,,False,0,0,False,,False,False,False,False
10014,Apollo 11,Soil,Unsieved,50.0,0.0,,,"Fines, Unsieved",False,0,0,False,,False,False,False,False
10015,Apollo 11,Soil ,Unsieved,0.395,35.44,,,"Fines, Unsieved",True,12,12,False,,False,False,False,False
10017,Apollo 11,Basalt,Ilmenite,973.0,43.711,,,"high K, fine-grained, olivine, few vesicles and vugs",True,120,120,True,https://curator.jsc.nasa.gov/lunar/lsc/10017.pdf,True,True,True,False
10018,Apollo 11,Breccia,Regolith,213.0,97.714,,,"coherent, few clasts, highly variable",True,68,68,True,https://curator.jsc.nasa.gov/lunar/lsc/10018.pdf,True,False,False,False
10019,Apollo 11,Breccia,Regolith,297.0,81.549,,,"high vesicular, fine-grained, few clasts, variable types",True,98,98,True,https://curator.jsc.nasa.gov/lunar/lsc/10019.pdf,True,False,False,False
10020,Apollo 11,Basalt,Ilmenite,425.0,27.881,,,"low K, fine-grained, subophitic to intergranular, moderate vesicles & vugs, cristobalite, large olivine",True,76,76,True,https://curator.jsc.nasa.gov/lunar/lsc/10020.pdf,True,False,True,False
10021,Apollo 11,Breccia,Regolith,250.0,30.205,,,"glass matrix, friable, few large clasts, glass spheres",True,38,38,True,https://curator.jsc.nasa.gov/lunar/lsc/10021.pdf,True,True,False,False
